study_accession	sample_accession	experiment_accession	run_accession	scientific_name	read_count	base_count	run_alias	fastq_ftp	sample_alias
PRJEB14847	SAMEA4347665	ERX1610198	ERR1539400	gut metagenome	25480997	5004004992	run_AWF_ANOSW_2_D11KBACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539400/ERR1539400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539400/ERR1539400_2.fastq.gz	sample_AWF_749906_A1-121
PRJEB14847	SAMEA4347676	ERX1610133	ERR1539404	gut metagenome	24438697	4730679680	run_AWF_LNOSW_3_D14FJACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539404/ERR1539404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539404/ERR1539404_2.fastq.gz	sample_AWF_749906_A1_023
PRJEB14847	SAMEA4347554	ERX1610191	ERR1539405	gut metagenome	23802906	4716514024	run_AWF_ATOSW_7_C0KU9ACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539405/ERR1539405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539405/ERR1539405_2.fastq.gz	sample_AWF_749906_A1-171
PRJEB14847	SAMEA4347683	ERX1610359	ERR1539412	gut metagenome	24197670	4775199141	run_AWF_NVOSW_1_C1K1EACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539412/ERR1539412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539412/ERR1539412_2.fastq.gz	sample_AWF_749906_B1 158
PRJEB14847	SAMEA4347522	ERX1610120	ERR1539414	gut metagenome	23303471	4571062444	run_AWF_TQOSW_4_C4UJUACXX.IND29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539414/ERR1539414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539414/ERR1539414_2.fastq.gz	sample_AWF_749906_B1-046
PRJEB14847	SAMEA4347677	ERX1610422	ERR1539416	gut metagenome	28606190	5599201768	run_AWF_QCOSW_6_C1KG9ACXX.IND24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539416/ERR1539416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539416/ERR1539416_2.fastq.gz	sample_AWF_749906_A1 066
PRJEB14847	SAMEA4347557	ERX1610247	ERR1539428	gut metagenome	29348760	5715928028	run_AWF_PROSW_6_C1KG9ACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539428/ERR1539428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539428/ERR1539428_2.fastq.gz	sample_AWF_749906_A1-059
PRJEB14847	SAMEA4347629	ERX1610155	ERR1539429	gut metagenome	20186427	4010552648	run_AWF_VCOSW_1_HAY78ADXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539429/ERR1539429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539429/ERR1539429_2.fastq.gz	sample_AWF_749906_B1_098
PRJEB14847	SAMEA4347668	ERX1610362	ERR1539432	gut metagenome	24183492	4742405455	run_AWF_RLOSW_3_C1JJBACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539432/ERR1539432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539432/ERR1539432_2.fastq.gz	sample_AWF_749906_A1-118
PRJEB14847	SAMEA4347601	ERX1610229	ERR1539435	gut metagenome	25951297	5050425654	run_AWF_GIOSW_3_C0UT3ACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539435/ERR1539435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539435/ERR1539435_2.fastq.gz	sample_AWF_749906_A1-033
PRJEB14847	SAMEA4347708	ERX1610238	ERR1539439	gut metagenome	25186507	4905022917	run_AWF_MAOSW_1_D14RHACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539439/ERR1539439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539439/ERR1539439_2.fastq.gz	sample_AWF_749906_B1_173
PRJEB14847	SAMEA4347656	ERX1610326	ERR1539441	gut metagenome	25358557	4924272007	run_AWF_MROSW_5_D14FJACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539441/ERR1539441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539441/ERR1539441_2.fastq.gz	sample_AWF_749906_A1_134
PRJEB14847	SAMEA4347710	ERX1610285	ERR1539445	gut metagenome	22069763	4296555090	run_AWF_MLOSW_2_D14RHACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539445/ERR1539445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539445/ERR1539445_2.fastq.gz	sample_AWF_749906_B1_175
PRJEB14847	SAMEA4347624	ERX1610315	ERR1539454	gut metagenome	23593413	4591116130	run_AWF_SIOSW_2_C4VR1ACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539454/ERR1539454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539454/ERR1539454_2.fastq.gz	sample_AWF_749906_A1-019
PRJEB14847	SAMEA4347633	ERX1610324	ERR1539456	gut metagenome	23832117	4735869976	run_AWF_VDOSW_1_HAY78ADXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539456/ERR1539456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539456/ERR1539456_2.fastq.gz	sample_AWF_749906_B1_099
PRJEB14847	SAMEA4347527	ERX1610137	ERR1539458	gut metagenome	21425907	4248370799	run_AWF_BHOSW_1_C0KU9ACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539458/ERR1539458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539458/ERR1539458_2.fastq.gz	sample_AWF_749906_B1-041
PRJEB14847	SAMEA4347742	ERX1610207	ERR1539464	gut metagenome	26410230	5116126031	run_AWF_MBOSW_3_D14FJACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539464/ERR1539464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539464/ERR1539464_2.fastq.gz	sample_AWF_749906_C1_009
PRJEB14847	SAMEA4347735	ERX1610320	ERR1539467	gut metagenome	23520241	4664129388	run_AWF_BMOSW_2_C0KU9ACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539467/ERR1539467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539467/ERR1539467_2.fastq.gz	sample_AWF_749906_B1-081
PRJEB14847	SAMEA4347571	ERX1610305	ERR1539468	gut metagenome	25952618	5065047556	run_AWF_ASOSW_2_D11KBACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539468/ERR1539468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539468/ERR1539468_2.fastq.gz	sample_AWF_749906_A1-161
PRJEB14847	SAMEA4347513	ERX1610216	ERR1539471	gut metagenome	18768468	3711305436	run_AWF_VEOSW_1_HAY78ADXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539471/ERR1539471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539471/ERR1539471_2.fastq.gz	sample_AWF_749906_B1_100
PRJEB14847	SAMEA4347572	ERX1610265	ERR1539474	gut metagenome	18525765	3585021072	run_AWF_SGOSW_2_C4VR1ACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539474/ERR1539474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539474/ERR1539474_2.fastq.gz	sample_AWF_749906_A1-040
PRJEB14847	SAMEA4347626	ERX1610107	ERR1539476	gut metagenome	20419295	4028186526	run_AWF_VSOSW_1_HAYJ5ADXX.IND18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539476/ERR1539476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539476/ERR1539476_2.fastq.gz	sample_AWF_749906_B1_090
PRJEB14847	SAMEA4347530	ERX1610256	ERR1539477	gut metagenome	30914915	6128535817	run_AWF_KQOSW_2_D11VRACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539477/ERR1539477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539477/ERR1539477_2.fastq.gz	sample_AWF_749906_A1-194
PRJEB14847	SAMEA4347623	ERX1610402	ERR1539487	gut metagenome	27966685	5465069974	run_AWF_RSOSW_8_C1JDKACXX.IND17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539487/ERR1539487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539487/ERR1539487_2.fastq.gz	sample_AWF_749906_A1-017
PRJEB14847	SAMEA4347478	ERX1610206	ERR1539489	gut metagenome	37284944	3428654489	run_AWF_BFOSW_2_C0BCMACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539489/ERR1539489.fastq.gz	sample_AWF_749906_B1-021
PRJEB14847	SAMEA4347600	ERX1610239	ERR1539496	gut metagenome	24755492	4855225184	run_AWF_AROSW_2_D11KBACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539496/ERR1539496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1539496/ERR1539496_2.fastq.gz	sample_AWF_749906_A1-151
PRJEB14847	SAMEA4347743	ERX1610172	ERR1539499	gut metagenome	27306051	5307117086	run_AWF_MTOSW_5_D14FJACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539499/ERR1539499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539499/ERR1539499_2.fastq.gz	sample_AWF_749906_B1_034
PRJEB14847	SAMEA4347548	ERX1610189	ERR1539501	gut metagenome	21059550	4180908162	run_AWF_BPOSW_2_C0KU9ACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539501/ERR1539501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539501/ERR1539501_2.fastq.gz	sample_AWF_749906_B1-101
PRJEB14847	SAMEA4347612	ERX1610353	ERR1539502	gut metagenome	25678651	5003513926	run_AWF_HVOSW_2_C0UT3ACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539502/ERR1539502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539502/ERR1539502_2.fastq.gz	sample_AWF_749906_C1-032
PRJEB14847	SAMEA4347457	ERX1610278	ERR1539509	gut metagenome	35612206	3267769398	run_AWF_BGOSW_2_C0BCMACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539509/ERR1539509.fastq.gz	sample_AWF_749906_B1-031
PRJEB14847	SAMEA4347518	ERX1610414	ERR1539513	gut metagenome	23145346	4530038751	run_AWF_HDOSW_3_D11TTACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539513/ERR1539513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1539513/ERR1539513_2.fastq.gz	sample_AWF_749906_B1-043
PRJEB14847	SAMEA4347495	ERX1610211	ERR1539515	gut metagenome	28472646	5515611139	run_AWF_NAOSW_5_D14FJACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539515/ERR1539515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539515/ERR1539515_2.fastq.gz	sample_AWF_749906_B1_134
PRJEB14847	SAMEA4347476	ERX1610219	ERR1539517	gut metagenome	18280743	3616556450	run_AWF_BTOSW_3_C0KU9ACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539517/ERR1539517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539517/ERR1539517_2.fastq.gz	sample_AWF_749906_B1-141
PRJEB14847	SAMEA4347555	ERX1610390	ERR1539519	gut metagenome	25487827	5054166807	run_AWF_BCOSW_1_C0KU9ACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539519/ERR1539519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539519/ERR1539519_2.fastq.gz	sample_AWF_749906_C1-001
PRJEB14847	SAMEA4347665	ERX1610386	ERR1539521	gut metagenome	44300172	4263181661	run_AWF_ANOSW_8_C0BMEACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539521/ERR1539521.fastq.gz	sample_AWF_749906_A1-121
PRJEB14847	SAMEA4347632	ERX1610194	ERR1539530	gut metagenome	24274145	4771689538	run_AWF_GLOSW_3_D11TTACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539530/ERR1539530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1539530/ERR1539530_2.fastq.gz	sample_AWF_749906_A1-133
PRJEB14847	SAMEA4347682	ERX1610339	ERR1539531	gut metagenome	25860737	5083295937	run_AWF_QSOSW_3_C1JJBACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539531/ERR1539531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539531/ERR1539531_2.fastq.gz	sample_AWF_749906_B1 156
PRJEB14847	SAMEA4347550	ERX1610197	ERR1539532	gut metagenome	25527535	4997765338	run_AWF_GGOSW_1_C0UT3ACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539532/ERR1539532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539532/ERR1539532_2.fastq.gz	sample_AWF_749906_C1-006
PRJEB14847	SAMEA4347703	ERX1610322	ERR1539538	gut metagenome	25894216	5129785687	run_AWF_PEOSW_2_C1K1EACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539538/ERR1539538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1539538/ERR1539538_2.fastq.gz	sample_AWF_749906_A1 058-2
PRJEB14847	SAMEA4347455	ERX1610200	ERR1539539	gut metagenome	26780365	5319329103	run_AWF_GNOSW_2_HAYJ5ADXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539539/ERR1539539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539539/ERR1539539_2.fastq.gz	sample_AWF_749906_B1-033
PRJEB14847	SAMEA4347569	ERX1610222	ERR1539542	gut metagenome	22850458	4463532763	run_AWF_TAOSW_4_C4VR1ACXX.IND15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539542/ERR1539542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1539542/ERR1539542_2.fastq.gz	sample_AWF_749906_A1-049
PRJEB14847	SAMEA4347595	ERX1610425	ERR1539544	gut metagenome	27814716	5459294667	run_AWF_PTOSW_2_C1JJBACXX.IND19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539544/ERR1539544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539544/ERR1539544_2.fastq.gz	sample_AWF_749906_B1-009
PRJEB14847	SAMEA4347706	ERX1610385	ERR1539545	gut metagenome	20538344	3956987309	run_AWF_NDOSW_3_D14FJACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539545/ERR1539545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539545/ERR1539545_2.fastq.gz	sample_AWF_749906_C1_035
PRJEB14847	SAMEA4347688	ERX1610298	ERR1539547	gut metagenome	19561644	3883330219	run_AWF_BLOSW_2_C0KU9ACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539547/ERR1539547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1539547/ERR1539547_2.fastq.gz	sample_AWF_749906_B1-071
PRJEB14847	SAMEA4347741	ERX1610443	ERR1539549	gut metagenome	13528312	2678482003	run_AWF_AAGOSW_2_HAYK5ADXX.IND27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539549/ERR1539549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1539549/ERR1539549_2.fastq.gz	sample_AWF_749906_A1_188
PRJEB14847	SAMEA4347615	ERX1610310	ERR1539551	gut metagenome	27773599	5438718647	run_AWF_GTOSW_1_C0UT3ACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539551/ERR1539551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1539551/ERR1539551_2.fastq.gz	sample_AWF_749906_C1-030
PRJEB14847	SAMEA4347485	ERX1610292	ERR1539554	gut metagenome	41094487	4042352264	run_AWF_AKOSW_7_C0BB7ACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1539554/ERR1539554.fastq.gz	sample_AWF_749906_A1-091
PRJEB14847	SAMEA4347488	ERX1610225	ERR1539555	gut metagenome	20678312	4092981424	run_AWF_ABHOSW_2_HAYJVADXX.IND41b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539555/ERR1539555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1539555/ERR1539555_2.fastq.gz	sample_AWF_749906_B1_132
