Abundance,1000IBD00135,1000IBD00599,1000IBD00046,1000IBD00556,1000IBD00269,1000IBD00563,1000IBD00689,1000IBD00613,1000IBD00680,1000IBD00060,1000IBD00407,1000IBD00610,1000IBD00132,1000IBD00670,1000IBD00565,1000IBD00682,1000IBD00017,1000IBD00256,1000IBD00577,1000IBD00387,1000IBD00053,1000IBD00645,1000IBD00121
c__CFGB3068,0.1855,0,0,0,0.99846,0,1.14709,0.03772,0.22976,0,0,0,0.2021,0,0,0.03248,0,0,0.29537,0,0,0,0.20688
c__Deltaproteobacteria,0.13019,0.06663,0.09823,0,0,0,0.22664,0,0.03043,0,0.70696,0.10632,0.06471,0,0.07194,0.42016,0,0.07131,0.13484,0.0446,0.15355,0.631,0.03
c__Gammaproteobacteria,0.09038,0,0,0.27148,0,0,0.41589,0.01738,0.66612,0.03227,1.06547,0.09036,2.82395,0.08264,0.03206,0.06505,0,0.00142,0,0.03116,0,0,0.03281
c__CFGB9718,0.05853,0,0,0,0,0.13548,0.32216,0.10114,0,0,0,0,0.02831,0,0,0.03793,0,0,0,0.05635,0,0,0.02876
c__Firmicutes_unclassified,0.03958,4.10739,0.05824,0,0.15352,0.05571,0,0.12957,0.25771,0.97704,2.45897,0.48905,0.31978,0.61586,0,0.24454,0,0.25482,0.60417,0,0,0,0.18912
c__CFGB1507,0.03556,0,0.07983,0,0.03937,0,0,0,0,0.00968,0,0,0.01849,0.0342,0.12472,0,0,0.11352,0,0.01029,0,0,0
c__CFGB76102,0.03481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825,0,0,0,0,0,0,0,0
c__Alphaproteobacteria,0.03168,0,0.19739,0,0,0,0.13642,0,0.00185,0,0.01824,0,0,0,0,0.05938,0,0.05188,0.1624,0.10052,0,0,0.01343
c__CFGB1011,0.02959,0.03052,0.06487,0,0.42967,0.05948,0,0.01293,0.01185,0,0,0,0.06345,0.09221,0.01307,0,0,0,0.03482,0.01665,0.30254,0,0.07556
c__CFGB3009,0.02159,0,0.007,0,0,0,0,0,0,0,0.00314,0,0,0,0,0,0.04003,0,0,0,0,0,0
c__CFGB75922,0.01758,0,0.05681,0.02824,0.15423,0,0,0,0,0,0.0478,0,0.01449,0.06166,0.00607,0,0,0,0,0.0309,0.1244,0,0.05667
c__CFGB72924,0.00349,0,0,0,0,0,0,0,0,0.04514,0,0,0,0,0,0,0,0,0.00122,0,0,0,0.02695
o__Eubacteriales,63.70636,75.70813,35.9671,61.09452,29.20707,59.33236,41.60456,66.07865,58.34862,67.82333,28.10425,65.83378,64.74745,37.17025,67.55867,47.41043,49.73797,72.84034,69.30679,65.65858,46.17621,34.84326,44.41549
o__Bacteroidales,20.24471,0.76648,39.93869,11.32725,7.63404,21.74687,15.98374,10.47347,14.45159,15.54559,15.75694,8.27022,18.88388,28.0232,3.03287,26.82847,4.38787,6.67254,9.30903,10.48955,14.14457,42.47896,12.76908
o__Bifidobacteriales,5.26318,3.48702,7.65138,11.51529,20.75838,2.71851,3.63039,6.95112,6.55208,10.88261,4.83563,10.72298,3.92129,13.68464,0.03829,0.62099,32.41496,0.35369,6.84686,1.58624,24.52734,12.53781,12.52992
o__Lactobacillales,4.07998,6.44555,0.06998,2.1594,2.75224,0.08537,3.04832,1.63969,1.89655,0.52529,3.84355,0.96985,0.74493,0.02556,1.09247,1.60381,2.49401,0.19609,1.50491,6.42582,3.92102,0.36924,1.67135
o__Eggerthellales,1.64773,0.74614,1.90399,0.14945,0.73745,2.54688,1.49627,0.33042,0.16015,0.44335,0.33546,5.21776,0.31061,1.14627,1.28696,1.14509,2.02439,0.16592,0.2898,0.72431,1.82307,0.25562,1.19325
o__Erysipelotrichales,1.52173,0.087,0.51442,0.35112,0.39205,0.71009,5.10898,1.50269,3.19353,0.38486,3.24985,0.30254,0.34298,1.0238,1.63952,5.54051,0.6444,2.20401,0.19868,1.0186,1.50381,0.38363,0.06482
o__Veillonellales,0.89592,1.12881,1.69497,2.86595,0.71435,2.78749,0.51547,0,0,1.19848,1.88922,5.93753,0,0,5.85928,1.96706,1.55686,2.55881,2.07416,5.46803,2.28397,7.49509,4.95257
o__Coriobacteriales,0.69478,0.9961,0.76978,4.92906,28.19484,0.36761,9.77024,2.93056,2.9466,1.29292,3.94429,0,1.09599,2.92324,0.26826,2.75771,6.39022,2.47613,3.2106,3.75149,0.14904,0.34938,2.12353
o__Clostridiales,0.50668,0.92211,3.35913,1.39108,4.22139,3.91848,2.49866,0.48814,3.74414,0,0.40533,0,1.99641,5.50313,2.9582,4.21715,0,3.75312,0.77014,0.47656,0.47948,0,3.62956
o__OFGB3070,0.27533,0,0.05634,0,0,0,0.07916,0,0.00501,0,0.0204,0,0.04117,0.04008,0.95834,0,0,0.84674,0,0.35654,0,0,0.03282
o__Burkholderiales,0.19842,0.44659,0.0879,0.85593,0,0.34343,0.01742,0.23622,0.1842,0,0.27156,2.03709,0.17993,0.01461,0.04693,0.5977,0.06783,0.86096,0.08382,0.11527,0.29149,0.65238,0.16471
o__OFGB3068,0.1855,0,0,0,0.99846,0,1.14709,0.03772,0.22976,0,0,0,0.2021,0,0,0.03248,0,0,0.29537,0,0,0,0.20688
o__Desulfovibrionales,0.13019,0.06663,0.09823,0,0,0,0.22664,0,0.03043,0,0.70696,0.10632,0.06471,0,0.07194,0.42016,0,0.07131,0.13484,0.0446,0.15355,0.631,0.03
o__Clostridia_unclassified,0.11321,0.13357,0.14228,0,0.24353,0.2987,0.32725,0.06647,0.14892,0.03531,0.31526,0,0.07559,0.11758,0.4415,0.0558,0.02317,0.04986,0.02148,0.20081,0.58082,0,0.45243
o__OFGB9718,0.05853,0,0,0,0,0.13548,0.32216,0.10114,0,0,0,0,0.02831,0,0,0.03793,0,0,0,0.05635,0,0,0.02876
o__Selenomonadales,0.04673,0,0,0,0,0,0.05546,0.7328,0.55323,0,0.49968,0,0.36878,0,0,0.18112,0,0,0,1.67551,0,0,0
o__Firmicutes_unclassified,0.03958,4.10739,0.05824,0,0.15352,0.05571,0,0.12957,0.25771,0.97704,2.45897,0.48905,0.31978,0.61586,0,0.24454,0,0.25482,0.60417,0,0,0,0.18912
o__Pasteurellales,0.03692,0,0,0.27148,0,0,0,0,0,0,0,0.00702,0,0,0,0,0,0,0,0,0,0,0
o__OFGB1507,0.03556,0,0.07983,0,0.03937,0,0,0,0,0.00968,0,0,0.01849,0.0342,0.12472,0,0,0.11352,0,0.01029,0,0,0
o__OFGB76102,0.03481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825,0,0,0,0,0,0,0,0
o__Rhodobacterales,0.03168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05188,0,0,0,0,0
o__Enterobacterales,0.03062,0,0,0,0,0,0.18307,0.00995,0.66612,0.03227,0.59007,0,2.78467,0,0.00249,0,0,0,0,0,0,0,0
o__OFGB1011,0.02959,0.03052,0.06487,0,0.42967,0.05948,0,0.01293,0.01185,0,0,0,0.06345,0.09221,0.01307,0,0,0,0.03482,0.01665,0.30254,0,0.07556
o__Chromatiales,0.02284,0,0,0,0,0,0,0.00743,0,0,0,0.08335,0.00432,0.08264,0.02958,0,0,0.00142,0,0.028,0,0,0.02429
o__OFGB3009,0.02159,0,0.007,0,0,0,0,0,0,0,0.00314,0,0,0,0,0,0.04003,0,0,0,0,0,0
o__OFGB75922,0.01758,0,0.05681,0.02824,0.15423,0,0,0,0,0,0.0478,0,0.01449,0.06166,0.00607,0,0,0,0,0.0309,0.1244,0,0.05667
o__Actinomycetales,0.01122,0,0.02749,0.10611,0,0,0.94183,0,0,0,0.83084,0,0.01816,0,0.02277,0,0.12146,0,0,0.16069,0.04272,0.00087,0.00567
o__Acidaminococcales,0.00516,0,0,0,0,0,0.13532,1.0613,0.51886,0,0.57185,0,0.33653,0.7507,4.40258,0,0,0,0,0,0.53864,0,0
o__OFGB72924,0.00349,0,0,0,0,0,0,0,0,0.04514,0,0,0,0,0,0,0,0,0.00122,0,0,0,0.02695
f__Lachnospiraceae,49.94074,44.39824,22.16572,48.74637,17.6784,33.75104,22.21951,43.15779,30.65614,30.06905,14.64495,47.27131,36.91693,21.05116,47.71907,25.06523,29.15814,51.28343,35.29388,32.51494,30.3493,28.37029,18.84534
f__Bacteroidaceae,18.19438,0,29.32462,10.19596,1.58693,15.67031,7.89208,3.5757,6.55885,13.47494,8.14725,7.74799,11.25456,25.96805,2.23707,1.10823,3.34167,3.65842,4.57064,3.06222,11.85545,5.52772,2.57235
f__Oscillospiraceae,7.55143,22.60118,10.63539,9.1398,8.69593,18.52171,11.98695,17.06993,23.13071,32.85174,7.52709,13.00801,22.30293,13.13854,14.23346,10.97819,19.06345,13.19682,26.93597,22.75141,12.46575,2.59804,21.39231
f__Bifidobacteriaceae,5.26318,3.48702,7.65138,11.51529,20.75838,2.71851,3.63039,6.95112,6.55208,10.88261,4.83563,10.72298,3.92129,13.68464,0.03829,0.62099,32.41496,0.35369,6.84686,1.58624,24.52734,12.53781,12.52992
f__Eubacteriales_unclassified,3.19088,2.69183,0.45662,1.83682,0.55547,3.65119,0.71977,0.33989,0.99979,0.10968,1.08577,0.23641,1.11679,1.21558,1.273,2.07963,0.2198,2.92013,4.31419,2.42385,0,0,0.69581
f__Streptococcaceae,2.94055,6.16983,0.06849,0.70287,1.40752,0.00475,2.39755,1.2631,0.06829,0.39393,0.31373,0.88435,0.0748,0,1.08175,0.27044,2.30758,0.09853,0,6.15334,3.92102,0.36924,0.68658
f__Eggerthellaceae,1.64773,0.74614,1.90399,0.14945,0.73745,2.54688,1.49627,0.33042,0.16015,0.44335,0.33546,5.21776,0.31061,1.14627,1.28696,1.14509,2.02439,0.16592,0.2898,0.72431,1.82307,0.25562,1.19325
f__Rikenellaceae,1.60169,0.76648,7.8321,0.17229,4.12204,0.48244,4.67194,0.4351,6.72756,0,2.02198,0,2.83921,0.19988,0.64313,0.11186,0.05698,2.16172,3.97916,3.49356,0.95322,0,1.37077
f__Erysipelotrichaceae,1.47248,0.087,0.51442,0.13263,0.39205,0.50167,3.03627,1.50269,3.19353,0.32337,2.97037,0.27653,0.34298,1.0238,0.30748,4.20955,0.60537,2.20401,0.18741,1.0186,1.50381,0.2672,0.06482
f__Clostridiaceae,1.21687,5.64284,1.32931,0.96105,0.25653,2.21046,2.50955,3.55297,2.19756,3.76808,2.92237,3.19755,3.32247,0.26688,2.4997,3.63536,0.21658,4.74048,1.66806,7.03752,1.21061,2.88587,1.87573
f__Lactobacillaceae,1.12074,0.27572,0,0.14838,1.34472,0.0654,0,0.16486,1.82826,0.13136,1.10842,0.00174,0.67013,0.02556,0.01072,1.32296,0.17715,0.09756,1.50491,0.26041,0,0,0.81284
f__Veillonellaceae,0.89592,1.12881,1.69497,2.86595,0.71435,2.78749,0.51547,0,0,1.19848,1.88922,5.93753,0,0,5.85928,1.96706,1.55686,2.55881,2.07416,5.46803,2.28397,7.49509,4.95257
f__Coriobacteriaceae,0.69478,0.9961,0.76978,4.92906,28.1802,0.36761,7.3652,2.93056,2.59508,1.29292,3.04891,0,1.02865,2.92324,0.26826,2.33244,0,2.47613,3.2106,3.66342,0.14904,0.34938,2.12353
f__Eubacteriales_Family_XIII_Incertae_Sedis,0.52788,0.16382,0.39847,0.009,0.44276,0.3906,1.8479,0.25927,0.38314,0.03823,0.22658,0,0.13823,0.03869,0.4597,0.17958,0,0.04002,0.19808,0.29033,0.44503,0.00483,0.19236
f__Ruminococcaceae,0.45803,0.77421,3.24758,1.3844,4.16223,3.31465,2.47153,0.48715,3.63207,0,0.31535,0,1.74848,4.99222,2.9582,4.08609,0,3.66705,0.74638,0.06453,0,0,3.52139
f__Tannerellaceae,0.30094,0,1.23339,0.56169,1.12147,2.8511,0.69807,0.91491,0.52125,0,1.55379,0.04948,0.71912,1.4603,0.15099,0.2205,0.74385,0.52213,0.17153,0.44976,1.04724,0.29289,0
f__FGB3070,0.27533,0,0.05634,0,0,0,0.07916,0,0.00501,0,0.0204,0,0.04117,0.04008,0.95834,0,0,0.84674,0,0.35654,0,0,0.03282
f__Sutterellaceae,0.19842,0.44659,0.0879,0.85593,0,0.34343,0.01742,0.23622,0.1842,0,0.25025,2.03709,0.17993,0.01461,0.04693,0.55569,0.06783,0.86096,0.08382,0.11527,0.29149,0.65238,0.16471
f__FGB3068,0.1855,0,0,0,0.99846,0,1.14709,0.03772,0.22976,0,0,0,0.2021,0,0,0.03248,0,0,0.29537,0,0,0,0.20688
f__Odoribacteraceae,0.1477,0,0.28954,0.04802,0.64484,0.05901,0.59126,0.09278,0.14378,0,0.71885,0.03587,0.29427,0,0.00168,0.38016,0.0075,0.03759,0.20357,0.0842,0.2127,0,0.11174
f__Desulfovibrionaceae,0.13019,0.06663,0.09823,0,0,0,0.22664,0,0.03043,0,0.70696,0.10632,0.06471,0,0.07194,0.42016,0,0.07131,0.13484,0.0446,0.15355,0.631,0.03
f__Clostridia_unclassified,0.11321,0.13357,0.14228,0,0.24353,0.2987,0.32725,0.06647,0.14892,0.03531,0.31526,0,0.07559,0.11758,0.4415,0.0558,0.02317,0.04986,0.02148,0.20081,0.58082,0,0.45243
f__FGB9718,0.05853,0,0,0,0,0.13548,0.32216,0.10114,0,0,0,0,0.02831,0,0,0.03793,0,0,0,0.05635,0,0,0.02876
f__Turicibacteraceae,0.04925,0,0,0.21849,0,0.20842,2.05012,0,0,0.06149,0.27948,0.02601,0,0,0,0,0.03903,0,0.01127,0,0,0.11643,0
f__Clostridiales_unclassified,0.04864,0.14791,0.11154,0.00668,0.05917,0.60383,0.02713,0.00099,0.11207,0,0.08998,0,0.24793,0.51091,0,0.13106,0,0.08607,0.02377,0.41203,0.47948,0,0.10817
f__Selenomonadaceae,0.04673,0,0,0,0,0,0.05546,0.7328,0.55323,0,0.49968,0,0.36878,0,0,0.18112,0,0,0,1.67551,0,0,0
f__Firmicutes_unclassified,0.03958,4.10739,0.05824,0,0.15352,0.05571,0,0.12957,0.25771,0.97704,2.45897,0.48905,0.31978,0.61586,0,0.24454,0,0.25482,0.60417,0,0,0,0.18912
f__Pasteurellaceae,0.03692,0,0,0.27148,0,0,0,0,0,0,0,0.00702,0,0,0,0,0,0,0,0,0,0,0
f__FGB1507,0.03556,0,0.07983,0,0.03937,0,0,0,0,0.00968,0,0,0.01849,0.0342,0.12472,0,0,0.11352,0,0.01029,0,0,0
f__FGB76102,0.03481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825,0,0,0,0,0,0,0,0
f__Rhodobacteraceae,0.03168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05188,0,0,0,0,0
f__Enterobacteriaceae,0.03062,0,0,0,0,0,0.18307,0.00995,0.66612,0.03227,0.59007,0,2.78467,0,0.00249,0,0,0,0,0,0,0,0
f__FGB1011,0.02959,0.03052,0.06487,0,0.42967,0.05948,0,0.01293,0.01185,0,0,0,0.06345,0.09221,0.01307,0,0,0,0.03482,0.01665,0.30254,0,0.07556
f__Chromatiaceae,0.02284,0,0,0,0,0,0,0.00743,0,0,0,0.08335,0.00432,0.08264,0.02958,0,0,0.00142,0,0.028,0,0,0.02429
f__FGB3009,0.02159,0,0.007,0,0,0,0,0,0,0,0.00314,0,0,0,0,0,0.04003,0,0,0,0,0,0
f__Enterococcaceae,0.01869,0,0.00149,1.30815,0,0.01523,0.65077,0.21172,0,0,2.42139,0.08377,0,0,0,0.01041,0.00833,0,0,0,0,0,0.17193
f__FGB75922,0.01758,0,0.05681,0.02824,0.15423,0,0,0,0,0,0.0478,0,0.01449,0.06166,0.00607,0,0,0,0,0.0309,0.1244,0,0.05667
f__Actinomycetaceae,0.01122,0,0.02749,0.10611,0,0,0.94183,0,0,0,0.83084,0,0.01816,0,0.02277,0,0.12146,0,0,0.16069,0.04272,0.00087,0.00567
f__Acidaminococcaceae,0.00516,0,0,0,0,0,0.13532,1.0613,0.51886,0,0.57185,0,0.33653,0.7507,4.40258,0,0,0,0,0,0.53864,0,0
f__FGB72924,0.00349,0,0,0,0,0,0,0,0,0.04514,0,0,0,0,0,0,0,0,0.00122,0,0,0,0.02695
g__Lachnospiraceae_unclassified,13.5813,14.87406,0.25712,22.13495,0.41032,7.1199,2.02345,3.21992,5.76969,11.38209,1.55485,0.14991,11.16239,0,10.99139,3.57962,0,6.55189,11.31034,4.23175,2.52531,8.16126,2.63188
g__Bacteroides,13.25481,0,26.09326,3.74095,1.58693,12.6801,6.32617,1.35584,3.47688,0,3.38321,4.71463,7.99227,14.63765,1.8308,0.53236,1.68314,2.06577,2.29247,2.06367,7.81523,0.04653,1.23243
g__Blautia,11.21285,7.36261,10.33692,10.42757,5.74175,6.17526,4.823,6.0376,8.87247,7.98613,2.98968,7.53729,9.39866,19.43065,18.31344,7.0027,10.14917,12.31648,11.36162,9.87123,12.89917,6.82334,4.68805
g__Dorea,5.4351,2.06316,1.28916,3.73287,0.39504,2.47601,3.23228,1.76452,0.86969,0.50022,0.17161,11.05842,1.54145,0,1.07151,2.66295,2.63062,5.61418,1.30756,3.23772,1.83819,4.35488,0.82144
g__Bifidobacterium,5.26318,3.48702,7.65138,11.51052,20.75838,2.71851,3.63039,6.95112,6.55208,10.88261,4.83563,10.72298,3.92129,13.68464,0.03829,0.62099,32.41496,0.35369,6.84686,1.58624,24.52734,12.53781,12.52992
g__Phocaeicola,4.93957,0,3.23136,6.45501,0,2.99021,1.5659,2.21986,3.08197,13.47494,3.14829,3.03336,3.26229,11.3304,0.40626,0.57587,1.65853,1.59265,2.27817,0.99855,4.04023,5.48119,1.33991
g__Faecalibacterium,4.30826,10.34287,6.25086,5.94797,1.60194,4.57352,1.90541,9.73999,6.82126,25.13645,0.33336,11.60896,11.3062,4.80321,1.35741,3.34588,8.0024,2.9041,10.53691,4.995,6.19994,1.96038,5.27557
g__Fusicatenibacter,3.4263,5.61591,0,6.10704,0,3.84448,1.12447,1.29532,1.56986,1.88727,0.12373,4.10321,0.91002,0,0.8771,0.49096,0,5.38618,3.5049,1.32626,0,0,1.06936
g__Anaerostipes,3.34071,1.41273,0.9723,2.19701,3.15827,3.21341,0.58158,0.8571,0.25721,1.0846,0,2.2064,2.44272,0,0.70458,0.31592,3.22675,1.30261,0.80244,0.17504,3.3001,3.6636,1.53887
g__Streptococcus,2.94055,6.16983,0.06849,0.70287,1.30575,0.00475,2.39755,1.2631,0.05506,0.39393,0.2744,0.88435,0.0748,0,1.04028,0.26206,2.30758,0.09853,0,6.14016,3.92102,0.36924,0.51283
g__Coprococcus,2.92335,0.09661,0,0.47693,2.12423,1.81508,5.37232,11.44607,0.84462,0.23238,0.55396,2.09525,3.24927,0,2.64832,1.794,0,2.77758,1.44735,1.34693,0.48883,0,0.96193
g__Lachnospira,2.52854,0.91389,0.28553,0.38496,0.85296,0.40019,0.0807,6.5334,0.40892,3.43092,0,0,0.38308,0,0,0.31257,0,0.31589,0.48073,1.05489,0,0,0.05083
g__Mediterraneibacter,2.241,2.13789,3.26387,0.13237,1.49089,3.15842,2.04723,0.54572,0,0.06977,0.88063,3.03292,1.67325,0.25803,5.53048,1.40965,3.3589,4.42708,0.67393,0.03116,3.43216,2.38229,0.70255
g__Gemmiger,1.60427,1.86853,0,1.83682,0,2.42403,0,0,0,0,0.01933,0,0,0,0,1.39143,0.2198,0.59718,3.68847,1.3351,0,0,0
g__Alistipes,1.60169,0.76648,7.8321,0.17229,0.6185,0.48244,4.67194,0.35681,4.32822,0,2.02198,0,2.83921,0.17445,0.64313,0.11186,0.05698,2.16172,1.79505,1.74247,0.95322,0,1.37077
g__Vescimonas,1.43585,0,0.27064,0,1.16246,0,3.31965,0.60872,0,1.45566,0.02526,0,0.31145,0,0.1065,0.05652,0,0.35919,0.38563,0,0,0,0
g__GGB79916,1.35306,0,0,0,0,0,0,0,0,0,4.76069,0,0,0,0,0,0,0,0,0,0,0,0
g__Adlercreutzia,1.32179,0.13391,0.86963,0.04946,0,1.74142,0,0,0,0,0,0,0.12146,0,0,0,0,0.16592,0.0198,0.01002,0,0,0.19451
g__Roseburia,1.21597,5.93299,3.29613,1.71507,0.09593,3.85207,0.01597,9.07429,8.98506,1.08623,0.27469,14.60805,2.17072,0,4.17394,1.32163,7.67701,4.51716,2.28922,7.20705,1.74044,1.61876,3.37551
g__Faecalibacillus,1.12593,0,0.43214,0,0.24127,0.50167,0.14283,0.61328,0.2413,0.08089,0,0.03063,0.26305,0,0.12825,0.01248,0,2.20401,0.18008,0,0,0.23914,0.06482
g__Lactobacillus,1.06762,0.0302,0,0,0.0168,0,0,0,0,0.11416,0,0.00174,0,0,0,0,0.17715,0,0,0,0,0,0
g__Eubacteriales_unclassified,1.04331,0.8233,0.34915,0,0.549,0.64885,0.71977,0.16316,0.7047,0.10968,0,0.23641,1.10378,1.21558,0.77194,0.6882,0,2.31802,0.3057,0.54248,0,0,0.60374
g__Dialister,0.89592,0,1.69497,2.86368,0.71435,2.78749,0.51547,0,0,1.12551,0.01614,5.93753,0,0,5.85928,0,1.55686,2.55881,2.07416,5.44783,2.28397,7.49509,4.77719
g__Anaerobutyricum,0.88101,1.05824,1.12079,0.90336,1.60453,0.94628,1.3831,0.53603,1.46588,0,0.20245,0.55808,1.54011,0,2.07234,1.15569,1.43113,0.84674,0.88305,1.01587,2.32472,0.53765,0.48016
g__Clostridium,0.82812,4.10536,1.08488,0.75646,0.14691,0.631,2.45143,2.39071,1.13377,0.81745,0.69044,2.5549,2.45094,0.224,2.21837,3.29447,0.17811,3.04625,0.79379,5.53438,0.49353,2.13721,0.77306
g__Faecalicatena,0.79534,0.10993,0.01756,0,0.01036,0.66337,0.10222,0.17242,0,0.10759,0,0,0.48332,0.01268,0.02982,0,0.01173,0,0.8515,0.06811,0,0,0.53862
g__Collinsella,0.69478,0.9961,0.76978,4.92906,28.1802,0.36761,7.00584,2.82417,2.27147,1.29292,1.57602,0,0.81471,2.92324,0.14414,1.79915,0,2.47613,3.01169,2.97193,0.14904,0.34938,2.12353
g__Dysosmobacter,0.57919,0.62505,0.37569,0.02448,0.42844,0.04001,0.15241,0.42895,0.1015,0.98045,0.038,0.6186,0.53615,0.37516,0.36549,0.05918,0.22306,0.18642,0.44764,0.87067,0.79358,0,0.10633
g__Evtepia,0.54331,0,0,0,0,0.57831,0,0.17673,0.27093,0,0,0,0,0,0.50106,0,0,0,0.26979,0.54628,0,0,0
g__Candidatus_Cibionibacter,0.45803,0.77421,3.24758,1.3844,4.16223,3.31465,2.47153,0.48715,3.63207,0,0.31535,0,1.74848,4.99222,2.9582,4.08609,0,3.66705,0.74638,0.06453,0,0,3.52139
g__Lacrimispora,0.39358,0.63814,0,0.42505,0,0.02053,0.48388,0.04811,0.30159,1.01905,0.06078,0.62226,1.30388,0,0.0304,0.67893,0.11257,3.37616,0.0006,0.26341,0.19734,0.82851,0.37231
g__Clostridiaceae_unclassified,0.36884,0.93536,0.14018,0.20459,0.00508,1.45528,0,0.47067,0.99266,1.53743,0.95891,0.52238,0.69121,0,0.28134,0.2428,0,1.69423,0.86299,0.98737,0.28297,0.01328,0.60697
g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,0.36748,0.12591,0.12317,0,0.24479,0.23145,1.04219,0.24308,0.09545,0,0.10387,0,0.06569,0.03299,0,0.11178,0,0.0215,0.16171,0.09372,0,0,0.11419
g__Agathobaculum,0.3358,0,0,0.2773,0,0.2984,0,0.10031,0.45465,0,0.08251,0.47843,0.18401,1.13939,0.76084,0.56864,0.62778,0.4567,0.31998,0.46529,0.38076,0.59467,0.32897
g__Monoglobus,0.32114,0.19759,0.32085,0.00461,0,0,0,0,0,0.02925,0,0,0,0,0.00456,0,0,0,0.12175,0,0,0,0.25545
g__Parabacteroides,0.30094,0,1.23339,0.56169,1.12147,2.8511,0.6281,0.91491,0.52125,0,1.16441,0.04948,0.71912,1.4603,0.15099,0.2205,0.74385,0.52213,0.17153,0.44976,1.04724,0.29289,0
g__GGB9512,0.27533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95834,0,0,0.84674,0,0.35424,0,0,0
