Abundance,SAMN00034067,SAMN00034187,SAMN00095348,SAMN00078079,SAMN00073582,SAMN00147413,SAMN00070035,SAMN00146239,SAMN00042371,SAMN00069411,SAMN00142559,SAMN00144714,SAMN00099612,SAMN00146563,SAMN00143723,SAMN00088832,SAMN00095035,SAMN00063676,SAMN00031604,SAMN00143208,SAMN00073658,SAMN00097954,SAMN00041840,SAMN00141929,SAMN00143579,SAMN00146869,SAMN00143093,SAMN00146305,SAMN00095238,SAMN00037655,SAMN00142107,SAMN00065537,SAMN00065748,SAMN00087096,SAMN00034856,SAMN00085245,SAMN00034316,SAMN00147641,SAMN00097897,SAMN00087461,SAMN00146662,SAMN00141722,SAMN00088016,SAMN00076282,SAMN00139730,SAMN00085508,SAMN00087719,SAMN00069905,SAMN00142287,SAMN00100025,SAMN00034857,SAMN00086130,SAMN00085131,SAMN00082542,SAMN00074361,SAMN00100110,SAMN00142815,SAMN00037656,SAMN00087669,SAMN00042437,SAMN00146983,SAMN00088586,SAMN00096542,SAMN00084837,SAMN00087920,SAMN00075542,SAMN00141816,SAMN00141720,SAMN00039134,SAMN00087361,SAMN00146030,SAMN00143754,SAMN00094410,SAMN00082513,SAMN00147938,SAMN00146356,SAMN00099936,SAMN00087253,SAMN00139709,SAMN00142398,SAMN00087502,SAMN00142634,SAMN00088409,SAMN00146029,SAMN00095165,SAMN00083997,SAMN00045881,SAMN00099822,SAMN00147136,SAMN00139862,SAMN00145981,SAMN00142997,SAMN00073365,SAMN00095092
c__CFGB11479,12.09242,0,0,0,0,0,0,0,0,0,0,5.65106,0,0,0,0,0,0,0,0,13.32597,0,0,0,0,0,1.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Betaproteobacteria,4.31005,1.89693,1.38567,4.02309,0.1418,0.31487,0.99969,0.00319,0.00308,1.06478,0.39461,1.26912,1.92665,0.66083,2.47425,2.27118,1.11013,5.35948,0.00308,1.69011,1.08177,0.24996,0.02295,0,0.8277,2.12767,1.79607,3.87265,4.00043,0.07584,3.87649,0.02847,1.91071,0.91215,0.07513,1.17426,0.46616,3.14639,3.11678,0.79699,0,0,2.95089,1.65851,0.99568,2.05819,1.37583,2.23726,0.29586,0.04041,0.11369,0,0.38935,0.09101,0.1114,1.23608,0.75797,0.0971,1.51342,1.08067,0.45728,0.7976,0.00471,1.86566,0.02043,0.08755,0.1627,0,0.10513,2.96629,0.03413,1.75295,0,0.10504,1.28125,0.00515,0.59201,1.18978,0.88375,2.30727,0,0.69928,0.08611,0.09552,0.98269,0.8544,0.5102,1.00284,3.65808,2.5691,4.5311,0.00342,0.10648,2.32744
c__Gammaproteobacteria,3.48463,0.05572,0.05046,1.4881,0.02382,0.51939,0.06679,0.60596,0.22708,1.07015,0.06967,0.02683,0.01573,0.75172,0.30893,0.13104,0.04866,0.23174,0.02017,0.02164,0.17979,0.01993,0.07948,0.07007,0.19615,0.01349,0.13104,2.38165,0.05989,12.99972,0.18061,0.45104,0.08539,0.04879,19.60192,0,0.1059,0.00794,1.7433,0.01526,0,0.18077,2.44069,0.02445,0.04044,0.7713,0.01302,0.3678,0.59461,2.05469,0.15463,0.08151,0.03262,0.49159,0.00594,0.00041,0.0382,0.0133,0.25638,0.00038,0.04433,0.60104,0.11563,0.05015,0.25195,0.02294,0.16234,1.98652,4.15992,0.01428,0.00978,3.44716,0.04563,0,0.12357,0.09644,0.00976,0,0.28829,0.11268,0.04973,0.00613,0.11479,3.55675,0.11754,0.06215,0.0945,0.06389,0.52565,0.01573,0.1335,0.02595,0.00742,0.09034
c__Negativicutes,2.66897,1.0186,1.90712,1.66386,0.37317,0.68867,0.24091,1.08508,2.22883,1.65589,0.2427,1.25614,0.13095,0.53807,0.13618,0.20363,1.79453,3.53001,1.88006,0.94748,0.4599,0.1728,0.10315,0.81531,0.92773,0.82836,0.41165,19.00104,1.2398,0.15317,0.67845,3.48539,0.83069,1.25237,4.88789,0.47232,4.48117,0.26487,0.27618,1.46394,1.08957,0.42606,2.6359,0.47804,0.11283,1.45854,0.65913,4.47631,0.26156,0.55674,6.30932,3.06745,0.4149,5.08838,0.13623,0.97055,1.74349,0.18308,0.98214,0.61892,0.56559,1.23296,0.89542,1.34084,1.29533,0.15576,2.06834,1.37785,2.24358,0.08918,1.18013,0.83564,0.5123,0.92947,1.03452,2.60398,3.45335,0.85496,1.15527,0.72746,1.46268,0.11162,0.38169,1.71159,0.39731,0.01581,0.23072,0.89515,1.1888,2.40883,0.01486,0.45134,2.0798,0.26855
c__Coriobacteriia,0.77192,0.26185,0.21174,0.57617,0.45194,0.52693,0.12403,0.29381,0.1147,0.94741,0.17906,0.0936,0.03975,0.29281,1.20502,0.05527,0.44538,0.04937,0.18733,0.97575,0.24982,0.32894,0,0.04715,0.16758,7.341,0.3083,0.6449,1.12064,0.01984,0.52161,0.55422,0.42554,0.22771,2.93937,0.11605,0.33783,0.33182,0.28098,0.29434,0,0.4752,0.15484,0.77653,0.02802,0.20262,0.18437,0.24385,0.16817,0.22628,4.41533,0.34951,0.1779,0.153,0.36045,0.14106,0.07975,0.0253,2.75509,0.09634,0.85909,0.48191,0.35699,0.33221,0.39043,0.01914,0.30431,1.16833,0.27313,0.49629,0.17377,0.19287,0.13098,0.04541,1.82197,1.00107,0.4688,0.10075,0.72691,0.07483,0.51824,0.09968,0.34087,0.05878,2.24328,0.05421,0.00127,0.65383,0.35134,0,0.52793,0.06982,1.41022,0.37553
c__Erysipelotrichia,0.52186,0.06396,0.03838,0.09574,0.07928,0.27764,0.0432,0.10896,0.07058,0.16961,0.34986,0.05556,0.05683,0.23088,0.33155,0.03341,4.57866,0,0.09467,0.45159,0.02284,0.03829,0.03477,0.09521,0.13939,0.03897,0.12752,0.54354,1.21346,0,0.06835,0.01636,0.16497,0.58975,0.03825,0.03571,0.35951,0.23864,0.00597,0.22606,0,2.04827,0.04958,0.13314,0.11267,0.05062,0.19059,0.0999,0.10136,0.18535,0.0713,0.84364,0.09467,0.05351,0.03508,0.09544,0.24021,0.00151,0.86409,0.14584,1.27989,0.01998,0.10422,0.1721,0.06411,0.01698,0.4389,0.06087,0.19488,0.08339,0.06868,0.27183,0.42681,0,1.04684,0.03615,0.41305,0.18782,0.57719,0.08612,0.05681,0.03153,0.06904,0.3564,0.20904,0.01614,0.04181,0.27468,0.09836,0.3331,0.5234,0.1643,0.67267,0.21582
c__Bacilli,0.49466,1.09338,0.06689,0.24051,0.00022,3.74517,0.007,0.00195,0.00111,0.19291,0.29587,0.09894,0.01078,0.18174,1.28796,0.01131,0.95141,0.0011,0.15833,0.01317,0.54162,0.52905,0.00543,0.00974,1.59485,0.1086,0.01007,11.44124,0.0291,0.03676,0.13091,0.04857,0.00208,0.16308,0.33225,3.23922,0.32234,0.57663,0.11602,3.24685,0,0.07968,3.02443,0.78583,0.01915,0.36267,0.00181,0.07818,0.04592,1.68484,0.41167,1.09217,0.01378,7.12959,1.4013,0.04818,1.04379,0.00107,0.04116,0.00325,0.32571,1.34166,0.04153,0.00385,0.10501,0.01366,3.39469,0.4622,2.35804,0.03315,2.45891,0.12025,0.00727,0.35458,1.24785,1.48275,1.51305,0.05637,0.37256,0.04567,1.08908,0.19519,0.92916,12.98352,0.12608,0.00484,0.27631,0.35534,0.32814,0.17572,4.12203,0.07428,5.31847,0.47254
c__Actinomycetia,0.38925,0.16311,0,0.0014,0.00524,1.39563,0.07398,0,0,0.76693,0.10565,0.07571,0.01056,1.65541,0.14638,0.06776,0,0.15869,0.63514,0.02253,0.00598,0.43129,0.0122,0.08857,0.62451,0.07561,0.08334,2.55069,0.74837,0.00146,0.68762,0.3208,0.18065,0,0.23464,0.13798,0.15219,0.12502,0.52985,0.1422,1.14993,0.82096,0.23516,0.48983,0.02846,0.00662,0.3177,0.13969,0.05776,0.00228,0.44051,2.3899,0.02576,0.02949,0.02144,0.01568,0.00033,0.00297,0,0.01257,0.33496,0.25102,0.46759,0.45534,0.1003,1.06858,0.05726,0.06979,0.18597,0.04136,0.03321,0.12483,0.11925,0.03683,0.07293,0.29725,0,0.00673,2.58744,0.16424,1.69532,0.07229,0.05828,0.43292,0.12249,0.14192,0.01831,0.00224,0.26248,0.26878,0.08514,0.04814,1.16882,0.1183
c__CFGB76783,0.25083,0,0,0.00135,0,0.05074,0,0,0,0.05196,0,0.00422,0.0319,0,0.01227,0,0,0,0,0,0,0.01753,0,0,0,0.10786,0,0,0.49294,0,0.56282,0.22102,0,0,0,2.30728,0.28825,0,0,0.42571,0,0,0,0.07239,0.10548,0.00146,0,1.20918,0.1375,0,0,0.06905,0,0.13941,0,0,0,0,0,0,0,0.32891,0,0,0.06657,0,0.02772,0.00357,0.17723,0.40252,0,0,0.38357,0.13192,0.00103,0.23892,0.12398,0,0.48305,0.03345,0,0.04556,0.01228,0.04133,0.09164,0,0.54122,0,0,0,0,0.12311,0.48029,0.06521
c__CFGB76465,0.21604,0.02072,0,0.03163,0,0.09388,0,0,0,0,0,0.00346,0,0.0249,0.00941,0,0,0,0,0,0.00113,0,0,0,0.09243,0.13098,0,0,0,0,0,0,0,0.00127,0.05707,0.08702,0,0.03426,0.04347,0,0,0,0.06057,0.02641,0,0.02927,0,0.00633,0.00016,0.35838,0.07783,0,0,0,0.02499,0,0,0,0,0,0,0.03959,0,0,0,0,0,0.08236,0,0,0.06419,0,0,0,0,0,0,0,0,0,0,0.01494,0.10933,0,0,0,0,0,0,0,0,0,0,0
c__Deltaproteobacteria,0.19753,0.13083,0.12254,0.09538,0.01452,0.24041,0.15318,0.10459,0,0.06465,0.40931,0.05234,0.19415,0.01346,0.32668,0.11505,0.13968,0.00206,0.19497,0.71921,0.02061,0.00682,0.0708,0.10654,0.16855,0.03933,0.05909,0,0.3967,0,0.05975,0.04595,0.04445,6.56055,0.00873,0.23284,0.12867,0.15267,0.05178,0.05098,0,0,0.14572,0.07984,0.02767,0.02717,0,0.36738,0.06292,0.31954,0.02041,0.0422,0.03408,0,0.07399,0,0.045,0.00262,0,0,0,0.14758,0.75348,0.0157,0.0071,0,0.12171,0.61228,0.04538,0.007,0,0.5998,0,0.00604,1.41975,0.18577,0.12734,0.16149,0.04518,0.05308,0,0.08533,0.46953,0.05397,0.04059,0,0.9848,0.07014,0.00943,0,0.13619,0,0.16543,0.05955
c__CFGB1798,0.17233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00888,0,0,0,0,0,0.02939,0,0,0,0,0,0,0.27064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB343,0.05526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__Epsilonproteobacteria,0.05309,1.66406,0,0,0,0.0105,0,0,0,0.05494,0.03188,0,0.00112,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0.56872,0.07786,0,0,0,0,0,0,0,0.00336,0.01587,0,0,0,0.91093,0.14358,0,0,0,0,0.00094,0,0,0,0.62376,0,0.00124,0,0,0.00318,0,0.01317,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0.00052,0,0,0.01562,0,0.00142,0,0,0,0,0,0,0.00172,0,0.0044,0,0,0
c__CFGB3069,0.04137,0.02104,0,0,0,0.21489,0,0,0,0,0,0,0,0.00126,0.02334,0,0,0,0.08039,0,0,0,0,0,0.00834,0,0,0,0,0,0,0,0,0,0,0,0.02796,0.00575,0,0.03928,0,0,0.01252,0,0,0,0,0.00302,0,0.86922,0,0,0,0.04719,0.00485,0,0,0,0,0.00078,0,0.0135,0,0,0,0,0.26738,0.01933,0.00898,0,0,0.05182,0,0,0.08288,0.1394,0.01224,0,0.1886,0.01925,0,0,0.02179,0.02169,0.00769,0,0,0.03932,0,0,0,0,0.01969,0.0275
c__CFGB667,0.03999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB1011,0.03032,0.0179,0.04227,0.01783,0,0,0,0,0,0.04001,0,0,0,0.01282,0.03181,0,0.36439,0,0.03026,0.10535,0,0.16536,0.00655,0,0.00582,0,0.09304,0,0.26112,0,0.00868,0.60426,0,0,0.10895,0,0.16477,0.014,0,0.0224,0,0.06173,0.00791,0.01071,0,0.02804,0.02341,0.0037,0,0.01259,0.15839,0,0,0,0.00289,0,0.35844,0,0,0.00882,0.0164,0.00572,0,0,0.27907,0,0.05765,0.07695,0.00021,0.00258,0,0.07008,0.22709,0,0.11299,0.07838,0.13196,0,0.06536,0.00303,0.02164,0.00357,0,0.01952,0.00284,0,0,0.02824,0.03398,0,0.08717,0.03253,0.00338,0.04916
c__CFGB1473,0.02774,0,0,0,0,0,0,0,0,0,0.03015,0.02167,0,0,0,0,0,0,0,0,0.01995,0,0,0,0,0.00499,0.027,0,0,0,0,0,0,0,0,0,0,0.01438,0,0,0,0,0,0,0,0,0,0.00888,0,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0.01738,0,0,0,0,0,0,0,0,0.02281,0,0,0,0,0,0,0,0.01234,0,0,0,0,0,0,0,0,0,0,0,0,0.14058,0.01947
c__CFGB1201,0.02258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03431,0,0,0,0,0,0.00032,0,0,0,0,0,0,0,0,0,0,0,0.00088,0,0,0,0,0.01423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0,0.00615,0,0,0.00422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805,0,0,0,0,0,0,0
c__CFGB2982,0.01636,0.02906,0,0,0,3.3404,0,0,0,0,0,0,0,0.04079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00779,0,0,0,0,0,0,0.08521,0.01096,0,0,0,0.04711,0,0.00308,0,0,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00778,0,0,0,0,0,0.01812,0,0,0,0,0,0,0,0.02574,0.22276,0,0,0,0,0,0.00278,0.02255,0.01524,0,0,0,0,0,0,0,0.08395,0.04726
c__CFGB2992,0.01277,0.02902,0,0,0,0.1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01169,0,0,0,0,0.01558,0,0,0,0,0,0.02426,0.02455,0,0,0,0,0.00866,0,0,0,0,0,0,0.11839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03251,0,0,0,0,0,0.0168,0,0,0,0,0,0,0,0.01699,0,0,0.00961,0,0,0,0,0,0
c__CFGB76388,0.01162,0,0,0,0,0,0,0,0,0.0135,0,0,0.01384,0.00254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03783,0,0.0557,0.01027,0.00041,0,0,0,0,0,0.00433,0,0,0,0,0,0.05519,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0.01389,0,0,0.04577,0,0.01976,0.0238,0.07393,0,0.04142,0,0,0.02601,0,0,0,0,0,0,0,0,0,0.01475,0.02425,0
c__CFGB76763,0.0111,0,0.02709,0.01158,0,0,0,0,0,0.01288,0.08633,0,0.00058,0,0.00217,0,0.01038,0,0,0,0,0,0,0,0.04286,0.01508,0.00154,0,0,0,0,0.01361,0,0,0,0.01591,0,0.00065,0.00485,0.0144,0,0,0,0.006,0,0.00635,0,0,0,0.05405,0,0,0,0,0.01934,0,0.00807,0,0,0,0,0.00114,0,0,0.00754,0,0,0,0,0,0.11897,0,0.12702,0,0.25533,0,0.01702,0.00966,0.00472,0,0,0.00049,0.04274,0,0.00364,0,0.00357,0,0.00051,0,0.00991,0.02706,0,0.00428
c__Lentisphaeria,0.00846,1.72062,0,0,0,0.00054,0,0,0,0.0084,0,0.04112,0.1753,0.10458,0.09053,0,0,0,0,0.05731,0.07854,0,0,0,0,0,0,0,0,0,0,0,0,0.03009,0,0.16659,0,0,0,0.07735,0,0,0.26976,0.27056,0,0,0.04618,0.00281,0,0,0,0,0,0,0.02757,0,0,0,0,0,0,0.01687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08714,0,0.11485,0,0,0,0,0,0,0,0,0,0.00381,0,0.12045,0,1.77714,0.17537
c__CFGB3047,0.00641,0,0,0,0,0,0,0,0,0.01631,0,0,0.00685,0,0.00301,0,0,0,0,0,0,0,0.0273,0,0.00659,0.02241,0,0,0,0.00139,0.03047,0,0,0.02881,0,0.00022,0.08791,0.01207,0,0.02976,0,0,0.00243,0.02084,0,0,0.00061,0.00347,0.03664,0,0,0,0,0,0.02461,0,0,0.00451,0,0.00086,0.02128,0,0,0,0,0,0.00388,0,0,0.02653,0,0.01917,0,0,0.02689,0,0.02385,0,0.00453,0.0107,0,0,0,0.00327,0.01902,0,0.00087,0.04236,0,0,0,0,0,0.03618
