Abundance,SAMN08049831,SAMN08049826,SAMN08049839,SAMN08049838,SAMN08049841,SAMN08049829,SAMN08049824,SAMN08049834,SAMN08049836,SAMN08049837,SAMN08049828,SAMN08049822,SAMN08049820,SAMN08049840,SAMN08049827,SAMN08049821,SAMN08049830,SAMN08049832,SAMN08049825,SAMN08049833,SAMN08049823,SAMN08049835
c__Erysipelotrichia,0.02707,0.41146,6.18307,0.9961,0.7384,5.4728,0.08853,1.84933,5.32802,0.0408,0.27952,1.2933,1.00179,0.32734,0.67832,0.39182,0.3783,1.47102,0.1812,0.19504,1.04836,0.63531
c__CFGB3047,0.02364,0.00815,0,0,0,0.00653,0.00066,0.01423,0.01094,0,0,0,0,0,0,0,0.01593,0.0684,0.00396,0,0.02399,0
c__CFGB3069,0.02093,0.02457,0.0009,0,0,0.07546,0,0.01988,0.01582,0.34845,0,0,0.00661,0.03444,0.30636,0,0,0.07589,0.01017,0,0.04736,0.79148
c__Gammaproteobacteria,0.01912,0.78094,0,0.19819,0.0997,0.04555,0.01647,0,0.03914,0.54939,0.05842,0.33302,0.8454,0.33822,0.37079,0.43293,0.02497,1.57107,0.30827,0.02494,0.15123,1.18654
c__Verrucomicrobiae,0.01533,9.19655,0.13332,0,0,2.82617,0.84862,0.18114,0.06583,3.22163,0,0,0,3.08907,7.70411,0,0,0.00455,0,6.03407,6.06096,7.26762
c__CFGB1249,0.01248,0.00079,0.01158,0.0063,0.0118,0,0,0.06926,0.00329,0.06174,0.05904,0,0,0.04222,0.01477,0,0,0.11787,0.14705,0.04636,0.1778,0.34976
c__CFGB76782,0.00925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB3529,0.00777,0.12446,0.15954,0,0.0707,0.13739,0,0.18077,0.01321,0.26704,0,0,0.09885,0.18472,0.02334,0,0,0,0.01277,0,0.03023,0.04081
c__Alphaproteobacteria,0.00755,0.0548,0,0,0.02064,0.00034,0.00904,0,0,0.51223,0.01579,0,0.01084,0.01,0.02661,0,0,0.00319,0,0.26058,0.05576,0.13147
c__CFGB1507,0.00728,0.01758,0,0.10423,0.01754,0.00494,0.03831,0,0,0,0,0,0.00288,0.01031,0,0,0.00637,0,0.00877,0,0,0
c__CFGB1262,0.00567,0,0,0,0,0,0,0,0,0.01097,0,0,0.00883,0.01356,0.02822,0,0,0,0.00738,0,0.01045,0.03304
c__CFGB38642,0.00389,0.19185,0.1562,0,0.41556,0.3425,0,0.81753,0.00198,1.81836,0.01993,0,1.13451,1.26624,0.18669,0,0,0.34465,1.78133,0,0.91236,0.70747
c__CFGB1226,0.00373,0.22891,0,0,0.02433,0.00956,0.00702,0.00057,0,0.05459,0.06819,0,0.16005,0.06027,0.48733,0,0,0,0.0285,0,0.01273,0
c__CFGB2960,0.00051,0,0,0,0,0,0,0,0.00144,0,0,0,0,0.0151,0,0,0,0,0,0,0,0.67604
o__Eubacteriales,75.52556,56.99387,36.80207,88.12773,71.59917,62.91799,71.18981,66.71028,61.54964,38.65373,59.62749,63.9939,62.11953,51.15851,38.54012,70.1348,79.97554,62.9449,54.5395,71.86942,44.03172,38.49862
o__Bacteroidales,5.99162,11.36149,1.37476,0.88178,2.7017,4.13159,3.8818,5.03563,1.01766,8.94655,18.04182,13.95162,7.78598,5.78306,17.39063,11.8598,0.19431,4.77594,6.05304,5.04304,21.59809,14.51775
o__Clostridiales,5.36191,2.41837,4.56922,0.02931,0.6574,1.25881,1.58359,3.86824,1.56648,7.12446,1.84941,0,1.2943,4.97728,0.91181,1.90352,3.68104,2.55014,14.40674,0.49054,2.37708,1.35452
o__Bifidobacteriales,4.23361,1.8991,26.78754,0.02848,5.71068,5.22164,7.97017,2.51171,14.34511,17.59669,5.2597,9.76084,1.37811,14.65189,2.31936,8.47382,0.01167,5.12592,7.02769,7.97062,10.11069,11.19036
o__Veillonellales,3.30095,0.02362,1.12965,2.88848,4.53696,0,3.59045,2.93475,0.93233,0,0.75508,0.04326,1.75085,0,0.17539,2.04637,0,0.99898,0,0,0.6068,0
o__Coriobacteriales,2.11428,3.5743,10.30789,0.05881,2.6384,3.45533,4.09089,4.30674,8.7346,3.41366,2.93495,1.06429,1.44065,5.13008,1.27591,0.53631,5.10016,5.486,3.67781,3.3914,2.48868,4.23875
o__OFGB3012,0.85448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Firmicutes_unclassified,0.41873,0.31771,0.05975,0.7695,0.0976,0.56809,0.05407,0.9382,0.57683,0.14567,0.07593,0,0,0.06865,0.0177,0.09453,0.3416,0.39128,0.37044,0,0.38845,0.11248
o__Eggerthellales,0.39042,0.63293,0.49444,2.18506,0.51444,1.25007,0.16857,3.4294,1.7885,1.46648,0.50727,2.40658,0.4436,0.2179,1.13562,0.57626,1.2066,0.7264,0.62375,1.20149,0.54726,0.45619
o__OFGB76763,0.338,0.01275,0.01463,0,0.94337,0.30181,0,1.84336,0.34106,0.37054,0.0434,0,0.02677,0.16059,0.00624,0,0,0.10318,0.34182,0,0.08834,0
o__OFGB75721,0.26321,0.08552,0,0,0.01993,0.01532,0,0.11211,0,0.02363,0,0,0,0.10591,0,0,0,0.26323,0.07823,0,0.01305,0
o__Lactobacillales,0.17239,2.81582,3.92145,2.72535,3.06711,5.64291,0.38659,0.85843,1.76744,1.59721,1.17736,1.38506,5.90417,2.45775,4.21039,0.13105,3.7123,0.11319,1.56315,0.96703,2.88899,1.63908
o__Burkholderiales,0.15944,0.00114,0,0,0.03125,0,0.0165,0.01635,0,0,0.15012,0.03034,0.13713,0.01034,0.4822,0.94734,0.01048,0.04114,0.02512,0,0.32981,0.09624
o__OFGB3068,0.14428,0.58718,0.26384,0,0.3342,0.35658,0.14921,0.33701,0.25317,0.13085,0.20244,0,0.25821,0.20797,0.45529,0.17972,0,0.3339,0.26931,0,0.2001,0.35917
o__Clostridia_unclassified,0.08917,0.26673,0.07524,0.11304,0.03517,0.15924,0.35065,0.06342,0.03125,0.11304,0.22221,0.65442,0.13157,0.1164,0.51721,0.06578,0.17474,0.087,1.1085,0.16852,0.18183,1.20532
o__OFGB1292,0.06637,0.03108,0,0.14766,0,0.02391,0.0004,0,0,0.04795,0.08232,0.07926,0.14835,0.02508,0.0388,0,0,0,0.10729,0,0.03166,0
o__OFGB76783,0.06582,0.64376,0.38908,0,1.22686,0.08133,1.31654,0.05392,0.00393,1.89176,1.20598,0,0.16366,0,0,0,0,0,0.18283,0,0.12831,0.04139
o__OFGB3070,0.0624,0,0,0,0,0.09976,0.02741,0,0,0.08633,0,0.08711,0,0.00043,0.05018,0,0,0.08355,0,0.00538,0,0
o__OFGB76388,0.05436,0,0,0,0.0164,0,0,0,0,0,0,0.50542,0,0.00205,0.00849,0,0,0.0254,0,0,0,0.07411
o__OFGB1011,0.0491,0.08756,0,0,0.02863,0.0164,0.08089,0.0137,0.0304,0.00382,0,0,0,0.03938,0.0455,0,0.09286,0.09022,0.09784,0,0.09304,0.2986
o__Desulfovibrionales,0.04832,0.24794,0,0.00025,0.03803,0.03688,0.06573,0.06104,0,0.05864,0.00155,0.3334,0.12507,0.02097,0.27925,0.09111,0,0.00307,0.1574,0.00065,0.33845,0.05198
o__OFGB3048,0.03752,0.1459,0,0,0.00855,0.22296,0.05446,0,0,0.08519,0,0,0.08159,0.08772,0,0,0.04352,0,0.02935,0,0.03488,0.02362
o__OFGB1670,0.03635,0.45228,0,0,0.03993,0.24335,0,0,0.01992,0.10009,0,0,0,0.02253,0,0,0,0,0.01939,0.9488,0.03708,0.05475
o__OFGB9989,0.03424,0.10134,0,0,0,0,0,0,0,0.36368,0,0,0.48442,0.00336,0.21535,0,0,0,0.15684,0,0,0
o__Erysipelotrichales,0.02707,0.41146,6.18307,0.9961,0.7384,5.4728,0.08853,1.84933,5.32802,0.0408,0.27952,1.2933,1.00179,0.32734,0.67832,0.39182,0.3783,1.47102,0.1812,0.19504,1.04836,0.63531
o__OFGB3047,0.02364,0.00815,0,0,0,0.00653,0.00066,0.01423,0.01094,0,0,0,0,0,0,0,0.01593,0.0684,0.00396,0,0.02399,0
o__OFGB3069,0.02093,0.02457,0.0009,0,0,0.07546,0,0.01988,0.01582,0.34845,0,0,0.00661,0.03444,0.30636,0,0,0.07589,0.01017,0,0.04736,0.79148
o__Chromatiales,0.01638,0.0015,0,0,0.04526,0.00306,0.01647,0,0,0,0,0,0,0.00297,0,0,0.01106,0.02508,0,0.01619,0.07385,0.00654
o__Verrucomicrobiales,0.01533,9.19655,0.13332,0,0,2.82617,0.84862,0.18114,0.06583,3.22163,0,0,0,3.08907,7.70411,0,0,0.00455,0,6.03407,6.06096,7.26762
o__OFGB1249,0.01248,0.00079,0.01158,0.0063,0.0118,0,0,0.06926,0.00329,0.06174,0.05904,0,0,0.04222,0.01477,0,0,0.11787,0.14705,0.04636,0.1778,0.34976
o__OFGB76782,0.00925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB3529,0.00777,0.12446,0.15954,0,0.0707,0.13739,0,0.18077,0.01321,0.26704,0,0,0.09885,0.18472,0.02334,0,0,0,0.01277,0,0.03023,0.04081
o__Hyphomicrobiales,0.00755,0.04682,0,0,0,0.00034,0.00904,0,0,0.51223,0,0,0.00783,0.01,0.00323,0,0,0.00319,0,0.26058,0.03965,0.13147
o__OFGB1507,0.00728,0.01758,0,0.10423,0.01754,0.00494,0.03831,0,0,0,0,0,0.00288,0.01031,0,0,0.00637,0,0.00877,0,0,0
o__OFGB1262,0.00567,0,0,0,0,0,0,0,0,0.01097,0,0,0.00883,0.01356,0.02822,0,0,0,0.00738,0,0.01045,0.03304
o__OFGB38642,0.00389,0.19185,0.1562,0,0.41556,0.3425,0,0.81753,0.00198,1.81836,0.01993,0,1.13451,1.26624,0.18669,0,0,0.34465,1.78133,0,0.91236,0.70747
o__OFGB1226,0.00373,0.22891,0,0,0.02433,0.00956,0.00702,0.00057,0,0.05459,0.06819,0,0.16005,0.06027,0.48733,0,0,0,0.0285,0,0.01273,0
o__Enterobacterales,0.00274,0.00615,0,0.19819,0,0,0,0,0,0.09426,0.05185,0.05255,0.19876,0.06219,0.04739,0.43293,0.01391,1.47105,0.00823,0,0.03254,0.6665
o__OFGB2960,0.00051,0,0,0,0,0,0,0,0.00144,0,0,0,0,0.0151,0,0,0,0,0,0,0,0.67604
f__Lachnospiraceae,56.43494,30.2061,25.0469,79.40951,50.72503,34.96061,45.67872,49.2725,38.37791,21.05019,26.78597,44.25542,25.81987,32.29134,17.79381,33.70198,60.89556,33.85636,27.43018,45.67179,24.15171,13.53586
f__Oscillospiraceae,11.95847,17.59865,7.93002,2.46728,12.80435,21.39036,19.41776,8.0413,14.40899,13.56755,26.11256,15.36461,31.27139,13.82867,14.21164,30.42378,12.20065,25.69682,20.82755,19.2991,16.94248,16.73495
f__Ruminococcaceae,5.22016,2.34058,4.56438,0,0.6277,1.20567,1.58244,3.74884,1.56226,7.06941,1.84941,0,1.27378,4.93666,0.87933,1.90352,3.59051,2.37014,14.40674,0,2.2377,1.00668
f__Bifidobacteriaceae,4.23361,1.8991,26.78754,0.02848,5.71068,5.22164,7.97017,2.51171,14.34511,17.59669,5.2597,9.76084,1.37811,14.65189,2.31936,8.47382,0.01167,5.12592,7.02769,7.97062,10.11069,11.19036
f__Clostridiaceae,3.45798,6.36497,1.21655,1.72557,3.20403,2.98661,2.99047,6.99714,1.48852,1.50764,1.18736,2.96584,3.08556,2.20029,2.36663,1.02366,1.25957,1.29523,2.88093,5.02437,1.51343,3.59912
f__Veillonellaceae,3.30095,0.02362,1.12965,2.88848,4.53696,0,3.59045,2.93475,0.93233,0,0.75508,0.04326,1.75085,0,0.17539,2.04637,0,0.99898,0,0,0.6068,0
f__Bacteroidaceae,3.0706,1.68041,0.0493,0.36073,2.16934,0.70844,2.99138,0.86895,0.1521,2.36377,9.54623,7.48063,2.20544,2.75609,8.82977,9.1739,0.10571,2.42585,3.63078,1.81642,12.2687,7.08785
f__Muribaculaceae,2.28395,0,0,0,0,0,0,0,0,0,0.10993,0,0,0,0,0,0,0,0,0,0,0
f__Coriobacteriaceae,2.11428,3.5743,9.4597,0.05881,2.6384,3.45533,4.09089,4.30674,8.7346,2.28227,2.05027,1.03749,1.44065,4.88113,1.2739,0.53631,5.10016,5.486,3.67781,3.3914,2.48868,4.23408
f__Eubacteriales_unclassified,1.57106,1.26748,1.27536,2.41147,2.58658,2.41913,2.229,0.99383,3.5131,1.68002,2.90775,0.71965,1.21794,2.09118,2.18606,4.31606,3.02207,0.7059,1.82179,1.07588,0.6961,3.39813
f__FGB3012,0.85448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Rikenellaceae,0.61276,8.26141,0.83765,0.48539,0.42532,2.28656,0.68671,3.33681,0.51818,6.34875,3.5054,5.27546,1.62076,2.16497,4.45199,2.54596,0.08859,1.28617,1.54961,3.0958,5.11915,5.80244
f__Firmicutes_unclassified,0.41873,0.31771,0.05975,0.7695,0.0976,0.56809,0.05407,0.9382,0.57683,0.14567,0.07593,0,0,0.06865,0.0177,0.09453,0.3416,0.39128,0.37044,0,0.38845,0.11248
f__Eggerthellaceae,0.39042,0.63293,0.49444,2.18506,0.51444,1.25007,0.16857,3.4294,1.7885,1.46648,0.50727,2.40658,0.4436,0.2179,1.13562,0.57626,1.2066,0.7264,0.62375,1.20149,0.54726,0.45619
f__FGB76763,0.338,0.01275,0.01463,0,0.94337,0.30181,0,1.84336,0.34106,0.37054,0.0434,0,0.02677,0.16059,0.00624,0,0,0.10318,0.34182,0,0.08834,0
f__FGB75721,0.26321,0.08552,0,0,0.01993,0.01532,0,0.11211,0,0.02363,0,0,0,0.10591,0,0,0,0.26323,0.07823,0,0.01305,0
f__Sutterellaceae,0.15944,0,0,0,0.03125,0,0.0165,0.01635,0,0,0.15012,0.03034,0.13713,0.01034,0.37973,0.94734,0,0.0266,0.02512,0,0.32981,0.09624
f__FGB3068,0.14428,0.58718,0.26384,0,0.3342,0.35658,0.14921,0.33701,0.25317,0.13085,0.20244,0,0.25821,0.20797,0.45529,0.17972,0,0.3339,0.26931,0,0.2001,0.35917
f__Clostridiales_unclassified,0.14176,0.07779,0.00484,0.02931,0.0297,0.05314,0.00115,0.1194,0.00422,0.05504,0,0,0.02052,0.04061,0.03247,0,0.09053,0.18,0,0.49054,0.13938,0.34784
f__Clostridia_unclassified,0.08917,0.26673,0.07524,0.11304,0.03517,0.15924,0.35065,0.06342,0.03125,0.11304,0.22221,0.65442,0.13157,0.1164,0.51721,0.06578,0.17474,0.087,1.1085,0.16852,0.18183,1.20532
f__Lactobacillaceae,0.08704,1.14687,1.11942,0.21165,0.51396,3.45624,0,0.14715,1.63305,1.17984,0.33425,0,5.65183,2.07042,3.6769,0,0.08242,0.06511,1.1428,0.80338,1.62183,0.86526
f__Streptococcaceae,0.08535,1.36009,2.80203,2.509,2.55315,2.06553,0.38231,0.71128,0.12276,0.14707,0.38969,0.19803,0.15502,0.38733,0.22138,0.13105,3.62988,0.01354,0.28561,0.16366,1.08367,0.45005
f__Eubacteriales_Family_XIII_Incertae_Sedis,0.07862,0.52124,0.1106,0.51046,0.11778,0.39911,0.24609,0.18338,0.56078,0.3641,0.51854,0.42419,0.1148,0.11554,0.36955,0,0.40426,0.94935,0.2933,0.12872,0.13952,0.67021
f__FGB1292,0.06637,0.03108,0,0.14766,0,0.02391,0.0004,0,0,0.04795,0.08232,0.07926,0.14835,0.02508,0.0388,0,0,0,0.10729,0,0.03166,0
f__FGB76783,0.06582,0.64376,0.38908,0,1.22686,0.08133,1.31654,0.05392,0.00393,1.89176,1.20598,0,0.16366,0,0,0,0,0,0.18283,0,0.12831,0.04139
f__FGB3070,0.0624,0,0,0,0,0.09976,0.02741,0,0,0.08633,0,0.08711,0,0.00043,0.05018,0,0,0.08355,0,0.00538,0,0
f__FGB76388,0.05436,0,0,0,0.0164,0,0,0,0,0,0,0.50542,0,0.00205,0.00849,0,0,0.0254,0,0,0,0.07411
f__FGB1011,0.0491,0.08756,0,0,0.02863,0.0164,0.08089,0.0137,0.0304,0.00382,0,0,0,0.03938,0.0455,0,0.09286,0.09022,0.09784,0,0.09304,0.2986
f__Desulfovibrionaceae,0.04832,0.24794,0,0.00025,0.03803,0.03688,0.06573,0.06104,0,0.05864,0.00155,0.3334,0.12507,0.02097,0.27925,0.09111,0,0.00307,0.1574,0.00065,0.33845,0.05198
f__FGB3048,0.03752,0.1459,0,0,0.00855,0.22296,0.05446,0,0,0.08519,0,0,0.08159,0.08772,0,0,0.04352,0,0.02935,0,0.03488,0.02362
f__FGB1670,0.03635,0.45228,0,0,0.03993,0.24335,0,0,0.01992,0.10009,0,0,0,0.02253,0,0,0,0,0.01939,0.9488,0.03708,0.05475
f__FGB9989,0.03424,0.10134,0,0,0,0,0,0,0,0.36368,0,0,0.48442,0.00336,0.21535,0,0,0,0.15684,0,0,0
f__Erysipelotrichaceae,0.02707,0.41146,6.13563,0.9961,0.7384,4.41958,0.08853,0.628,5.32802,0.0408,0.27952,1.2249,0.83393,0.32734,0.29559,0.35922,0.3783,1.4534,0.08979,0.19504,1.02537,0.13212
f__FGB3047,0.02364,0.00815,0,0,0,0.00653,0.00066,0.01423,0.01094,0,0,0,0,0,0,0,0.01593,0.0684,0.00396,0,0.02399,0
f__FGB3069,0.02093,0.02457,0.0009,0,0,0.07546,0,0.01988,0.01582,0.34845,0,0,0.00661,0.03444,0.30636,0,0,0.07589,0.01017,0,0.04736,0.79148
f__Tannerellaceae,0.01777,0.15137,0.02751,0,0.02275,0.16416,0.11186,0.04869,0.115,0.12585,0.15616,0.66997,1.03033,0.45682,2.95623,0.13995,0,0.35518,0.16205,0.02436,2.1183,0.66981
f__Chromatiaceae,0.01638,0.0015,0,0,0.04526,0.00306,0.01647,0,0,0,0,0,0,0.00297,0,0,0.01106,0.02508,0,0.01619,0.07385,0.00654
f__Akkermansiaceae,0.01533,9.19655,0.13332,0,0,2.82617,0.84862,0.18114,0.06583,3.22163,0,0,0,3.08907,7.70411,0,0,0.00455,0,6.03407,6.06096,7.26762
f__FGB1249,0.01248,0.00079,0.01158,0.0063,0.0118,0,0,0.06926,0.00329,0.06174,0.05904,0,0,0.04222,0.01477,0,0,0.11787,0.14705,0.04636,0.1778,0.34976
f__FGB76782,0.00925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB3529,0.00777,0.12446,0.15954,0,0.0707,0.13739,0,0.18077,0.01321,0.26704,0,0,0.09885,0.18472,0.02334,0,0,0,0.01277,0,0.03023,0.04081
f__Methylobacteriaceae,0.00755,0.04682,0,0,0,0.00034,0.00904,0,0,0.01415,0,0,0.00783,0.01,0.00323,0,0,0.00319,0,0.00667,0.03965,0.13147
f__FGB1507,0.00728,0.01758,0,0.10423,0.01754,0.00494,0.03831,0,0,0,0,0,0.00288,0.01031,0,0,0.00637,0,0.00877,0,0,0
f__Barnesiellaceae,0.00654,0.4616,0,0.03566,0.06129,0.10649,0.0463,0.08273,0.00533,0.10818,0.70717,0.49261,0.02464,0.0596,0.35378,0,0,0.52409,0.13669,0.10646,1.42005,0.74634
f__Christensenellaceae,0.00642,0.0197,0.00061,0,0.00301,0.00191,0.0231,0,0.0095,0,0,0,0,0.06241,0.00384,0,0.00886,0.03479,0,0.01611,0.013,0.02803
f__FGB1262,0.00567,0,0,0,0,0,0,0,0,0.01097,0,0,0.00883,0.01356,0.02822,0,0,0,0.00738,0,0.01045,0.03304
f__FGB38642,0.00389,0.19185,0.1562,0,0.41556,0.3425,0,0.81753,0.00198,1.81836,0.01993,0,1.13451,1.26624,0.18669,0,0,0.34465,1.78133,0,0.91236,0.70747
f__FGB1226,0.00373,0.22891,0,0,0.02433,0.00956,0.00702,0.00057,0,0.05459,0.06819,0,0.16005,0.06027,0.48733,0,0,0,0.0285,0,0.01273,0
f__Enterobacteriaceae,0.00274,0.00615,0,0.19819,0,0,0,0,0,0.09426,0.05185,0.05255,0.19876,0.06219,0.04739,0.34977,0.01391,1.47105,0.00823,0,0.03254,0.6665
f__FGB2960,0.00051,0,0,0,0,0,0,0,0.00144,0,0,0,0,0.0151,0,0,0,0,0,0,0,0.67604
g__Lachnospiraceae_unclassified,19.41646,1.26503,2.39408,2.17902,1.39427,1.10086,6.7039,6.74079,3.34748,1.30722,3.60938,0.02689,6.08106,8.16176,0.5588,1.11039,12.51865,2.34031,3.33752,11.99752,0.49823,0.45151
g__Blautia,13.82467,10.22501,11.45003,36.54314,18.20269,16.67845,21.61014,17.78144,20.40814,7.377,7.73504,17.13605,3.81223,10.9352,6.54447,10.362,26.79998,5.4741,10.32006,10.70515,6.94012,3.04306
g__Faecalibacterium,6.30544,3.82148,6.91543,0.13051,7.57275,5.90272,9.43953,6.43614,4.85207,1.96318,3.35693,5.55867,4.86825,5.42897,1.46637,13.40119,3.54135,5.26121,7.41321,7.10868,5.03648,0.17671
g__Candidatus_Cibionibacter,5.22016,2.34058,4.56438,0,0.6277,1.20567,1.58244,3.74884,1.56226,7.06941,1.84941,0,1.27378,4.93666,0.87933,1.90352,3.59051,2.37014,14.40674,0,2.2377,1.00668
g__Dorea,4.60602,2.68305,2.98339,3.78602,2.66716,2.8141,2.4622,5.0819,3.61682,3.23681,1.66118,3.23009,1.26802,0.85779,0.73593,1.03493,4.74502,1.59639,2.89475,1.97875,1.33217,0.88287
g__Bifidobacterium,4.23361,1.8991,26.78363,0.02848,5.71068,5.22164,7.97017,2.51171,14.32873,17.59669,5.22028,9.76084,1.37811,14.62683,2.31936,8.47382,0.01167,5.12592,7.02769,7.97062,10.11069,11.19036
