Abundance,SAMN03351695,SAMN03351542,SAMN03351487,SAMN03351503,SAMN03351584,SAMN03351571,SAMN03351475,SAMN03351603,SAMN03351602,SAMN03351489,SAMN03351666,SAMN03351563,SAMN03351468,SAMN03351659,SAMN03351447,SAMN03351485,SAMN03351448,SAMN03351537,SAMN03351599,SAMN03351478,SAMN03351453,SAMN03351689,SAMN03351647,SAMN03351461,SAMN03351495,SAMN03351476,SAMN03351708,SAMN03351718,SAMN03351482,SAMN03351454,SAMN03351444,SAMN03351521,SAMN03351466,SAMN03351477,SAMN03351627,SAMN03351544,SAMN03351713,SAMN03351706,SAMN03351467,SAMN03351677,SAMN03351449,SAMN03351510,SAMN03351608,SAMN03351452,SAMN03351723,SAMN03351490,SAMN03351492,SAMN03351450,SAMN03351493,SAMN03351441,SAMN03351555,SAMN03351628,SAMN03351672,SAMN03351633,SAMN03351497,SAMN03351566,SAMN03351532,SAMN03351703,SAMN03351486,SAMN03351578,SAMN03351648,SAMN03351572,SAMN03351617,SAMN03351455,SAMN03351543,SAMN03351442,SAMN03351481,SAMN03351660,SAMN03351549,SAMN03351460,SAMN03351595,SAMN03351479,SAMN03351446,SAMN03351577,SAMN03351488,SAMN03351445,SAMN03351484,SAMN03351654,SAMN03351469,SAMN03351513,SAMN03351483,SAMN03351506,SAMN03351491,SAMN03351451,SAMN03351496,SAMN03351443,SAMN03351494,SAMN03351480,SAMN03351683
o__Coriobacteriales,1.24397,0.40583,0.10646,0.94217,0.90252,0.07433,0.15646,0.08857,0.13068,1.6611,0.3584,0.01361,0.00406,0.0,0.93045,0.31093,0.02167,0.0,0.42363,1.54186,0.13424,0.28827,0.01579,0.13797,0,0.42995,0.23311,0.01649,0.08168,0.04589,0.09154,0.42022,0.33484,0,0.42265,0.18681,0.03887,0.42448,2.96504,0.23029,1.15312,0.08606,0.32884,0.07424,1.91594,0.04734,0.05881,0.03734,0.08232,0.64517,0.01558,0.08716,0.11736,0.1357,0,0.30715,0.00994,0.12199,0.32074,0.34958,0.61153,0.13423,0.54145,0.05419,0.00211,0.47121,2.73625,0.14023,0.39681,0.66361,0.54378,0.04347,0.27748,0.24171,0.63785,0.15985,0.24743,0.42101,1.02264,0.07007,0.01467,0.25496,0.10264,0.01991,0.09066,1.67906,0.26266,0.34769,0.10177
o__Veillonellales,0.38616,0,0.38577,1.8024,0.00175,0,0.13254,0,1.08277,0,0.20279,3.23237,0.02584,0.0,2.46757,0.01217,2.44565,0.0,0.57943,3.06987,0.05983,0,0,0.01853,4.32539,0.13016,0,0.3496,0,0.14687,0.86932,0.70542,0,0,3.97608,0.27822,0.04341,1.31758,0,0,0.28924,0,0,0.11393,1.09818,0.60267,0.00258,0.01594,0.52147,0.99489,1.16911,0.0079,0,0,0,0,0,1.52741,1.12313,0,0.00311,0,9.95316,0.1473,2.24284,3.63376,2.47853,1.2513,0.17861,2.57331,1.74848,0,0.49741,0.10428,0.84045,0.92348,0.59229,0,0,0,0,0.1117,0,0.04669,0,2.21583,0,0.00444,0.15267
o__Clostridia_unclassified,0.12365,0.17126,0.07079,0.25515,1.0521,0.04878,0.20518,0.01607,0.15725,0.42947,0.13802,0.00957,0.0336,0.0,0.25683,0.26341,0.1375,0.0,0.39721,0.85679,0.00085,0.17048,0.25762,0.14893,0.03506,0.16444,0.31939,0.16682,0.12207,0,0,0,0.15305,0.85263,0.12204,0.0321,2.15395,1.2798,0.67865,0.09581,0.21671,0.05806,0.1641,0.38577,0.17189,0.35032,0.0356,0.18973,0.04136,0.85279,0.00479,0.76091,0,0.01955,0,0.32542,0.00066,0,0.35454,0.25284,0.08171,0.00026,0.08751,0.0071,0.02585,0.14038,0.27505,0.20181,0,0.16971,0.28487,0.00299,0.07516,0.00854,0.54482,0.21236,0.14328,0.05194,0.88677,0.08429,0.00532,0.0031,0.09695,0,0.00048,1.79586,0.18152,0.3519,0.24274
o__Pasteurellales,0.07652,0,0,0,0,0,0,0,0.07879,0,0,0,0,0.0,0,0.00108,0,0.0,0,0,0,0,0.00897,0,0.05583,0.67081,0,0,0,0,0,0.17133,0.02408,0,0,0.11972,0.00739,0,0,0.00098,0,0.01884,0.00294,0,0,0,0.01684,0,0,0,0.02496,0,0.00178,0,0,0,0.00558,0.19349,0,0,0.04648,0,0,0.04122,0.00468,0,0,0,0,0.03318,0.00181,0,0.08357,0.02715,0.00318,0.10376,0.05754,0,0,0,0,0,0,0.09239,0,0,0,0.03265,0
o__Sphingomonadales,0.07567,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.03365,0,0.0,0,0,0,0,0,0.0162,0,0,0,0,0,0,0,0,0,0,0,0.0292,0,0.73376,0,0,0,0,0,0,0,5.51203,0,8.48932,0,0.20245,0.07769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10765,0,0,0,0.01247,0,0.02832,0,0,0,0.0144,0,0,0,0,0,0.04217,0,0.00246
o__OFGB1292,0.01706,0,0.10493,0,0,0,0,0,0,0,0,0,0,0.0,0,0.14464,0,0.0,0,0,0,0.01115,0,0.01482,0,0,0,0,0,0,0,0,0,0.0057,0,0.00169,0.06888,0,0,0,0,0,0,0.00413,0,0,0,0,0,0,0.02645,0.08192,0,0,0,0.275,0,0,0,0.00866,0.00411,0.00302,0,0,0,0,0,0,0.13986,0.00058,0,0,0,0,0,0.11152,0,0,0,0.03303,0,0,0,0,0,0,0,0,0.0108
f__Bacteroidaceae,73.00359,41.1561,60.04513,39.424,32.87014,81.73524,31.03732,77.30996,51.92316,31.56464,47.22409,56.9945,91.6614,0.0,29.86107,45.03712,41.57903,0.0,46.4884,21.98998,67.61619,52.28415,55.87397,62.19314,82.24308,73.88343,42.04969,58.95487,62.65868,79.58848,67.39147,70.45107,65.62697,47.43871,19.14683,45.22114,27.66445,38.41792,7.46422,65.90504,38.22394,65.92684,37.87601,37.52822,28.03583,24.78523,75.06369,24.60846,74.91116,28.20772,40.32235,42.18668,82.51329,81.90943,84.98313,43.69359,92.44679,79.78015,10.07564,47.63225,33.97197,79.01509,13.96761,27.08896,78.62963,22.43588,17.02366,59.94361,43.76231,16.47704,49.18634,29.11746,29.98874,53.86497,21.67256,44.80622,38.76901,53.5866,13.9291,40.81831,80.36606,84.65851,57.57266,92.2255,88.00436,3.36116,18.06122,38.70328,41.91155
f__Rikenellaceae,8.56561,12.82002,10.19077,7.9186,15.44203,8.59507,20.50758,0,13.97673,19.28028,14.40134,4.89561,1.74956,0.0,19.47894,10.91581,0.4003,0.0,1.66635,12.854,3.03797,12.58101,11.60768,16.28569,0,3.57884,14.11516,13.51804,5.92257,0,3.52505,0.85157,5.68496,11.79256,6.67004,19.71588,0.99917,11.90816,26.42535,12.4865,2.78368,7.28872,17.46395,16.06973,13.76768,7.41994,7.53856,9.30374,0.53161,2.48434,12.92516,1.6255,9.81207,0,0,18.74542,2.50622,0.42998,4.27341,14.98472,1.34639,9.00553,6.45343,3.20461,4.55354,29.9928,25.03617,14.92323,11.19506,3.06697,8.57232,16.80775,6.23378,8.1969,4.93202,7.62651,25.56959,4.29665,6.21023,0.59542,2.03143,0,14.70071,0,6.22075,12.22414,8.04062,12.05037,14.01815
f__Tannerellaceae,6.87393,7.33923,2.03077,0.75039,2.2263,4.18086,4.21999,3.37611,3.81552,1.92202,5.1817,9.03063,4.63022,0.0,4.77026,2.32738,3.40868,0.0,2.36105,2.03092,5.9255,1.47241,4.4482,4.92378,0,3.79055,3.13155,0.8313,7.02194,8.56785,3.40831,2.59682,2.94617,5.24481,0.41569,1.68885,10.85314,2.38434,0.05755,0,3.81498,3.37427,0.67175,6.46698,1.78467,9.41937,0.50758,11.46262,0.8605,1.58498,6.32008,6.96421,0.57479,6.12404,1.59727,0.61963,0,3.20968,4.80714,1.88709,1.37431,2.1688,0.73697,3.06332,0.57523,1.02314,5.2485,4.94931,5.35469,2.24067,2.12802,6.50106,2.50714,3.19673,2.41875,0.88913,1.61619,0.51236,0.60266,9.2642,3.34721,2.69455,2.9919,0,1.15821,0.3175,4.1575,3.16199,0.38096
f__Lachnospiraceae,3.36923,14.21459,4.26246,2.53227,11.31758,0.2868,3.86092,7.91943,7.09124,7.67799,7.76594,7.97832,0.69048,0.0,5.40465,7.88482,9.49032,0.0,20.08086,10.34437,13.70542,3.67612,6.21814,3.85494,3.77348,4.42066,1.80794,3.67835,2.07761,2.63374,7.45082,12.09152,6.27891,2.13682,3.32656,4.59832,2.74011,4.83037,3.94025,5.24637,23.76997,5.20727,7.60299,6.40407,7.06805,0.34688,1.84915,1.34406,10.3262,7.45484,11.68537,7.48977,2.94766,1.4888,0.63777,12.56804,1.08705,4.2022,15.22425,3.27937,15.78772,1.33402,11.82149,0.78083,2.68408,4.38693,5.97034,3.81533,7.00612,3.69855,9.24794,1.56838,14.59686,5.42121,5.18022,12.04001,7.00222,16.43829,9.91506,3.04557,3.24632,3.30013,4.20667,0.92731,1.47657,7.20374,8.9499,15.07691,16.37856
f__Sutterellaceae,2.63263,1.62747,0.41024,0,0.1929,0.17516,0.57575,1.3619,7.99971,0.83617,0.46113,0,0.04942,0.0,1.92356,0.24684,1.508,0.0,0.69136,0.55785,0.32118,0.33643,0.27744,0.32165,0,1.41214,0.30384,0.55912,0.76626,1.38028,4.17856,1.23778,0.81569,0.43948,0.20272,2.08093,1.83246,0.26115,0,0.87788,0.12529,1.57041,0.55749,0.30732,0.18537,1.55074,0,1.29402,1.82553,0.07305,0.2596,2.26483,0.20701,1.61904,0.44433,0.24796,0.48927,4.41221,0.14524,0.21506,0.45466,0,0.52391,5.46939,1.66265,0.4776,1.38462,0.18158,0.54243,0.5463,1.17626,0.64627,1.54537,0.60742,0.40755,3.83571,1.25025,2.03043,0,0.69785,0,0.23041,0,1.32941,0.06718,0.01671,1.29992,1.69933,0.15397
f__Oscillospiraceae,2.40731,9.99936,5.73575,36.6029,14.44693,1.16499,19.89587,2.52395,3.12698,14.32192,5.35782,9.17087,0.43147,0.0,12.69063,6.58782,11.32642,0.0,19.1108,11.52998,1.39347,12.64266,4.16032,4.51978,5.24933,1.80585,9.98665,6.27955,2.99929,4.7974,8.97999,7.20862,5.27028,26.53818,52.34635,9.88314,19.75044,25.58162,13.9133,9.11629,6.10516,4.92828,13.42498,7.28098,20.55258,9.26323,1.77461,18.09446,4.27628,14.67944,13.54437,13.74526,1.04632,4.77866,0.10582,7.66984,2.25812,4.29414,14.79009,14.82545,19.39728,3.61474,19.67362,1.98062,1.77935,10.55687,18.28482,3.04303,19.12277,6.61969,13.71697,3.95255,25.68118,8.45915,14.35238,15.62148,11.86185,8.62898,39.41477,26.19885,8.58693,6.28374,6.68632,0.24043,1.36512,19.51312,18.47832,11.7852,14.68707
f__Coriobacteriaceae,1.24397,0.40583,0.10646,0.94217,0.90252,0.07433,0.15646,0.08857,0.13068,1.6611,0.3584,0.01361,0.00406,0.0,0.93045,0.31093,0.02167,0.0,0.42363,1.54186,0.13424,0.28827,0.01579,0.13797,0,0.42995,0.23311,0.0132,0.08168,0.04589,0.09154,0.42022,0.33484,0,0.42265,0.18681,0.03887,0.42448,2.96504,0.23029,1.15312,0.08606,0.32884,0.07424,1.91594,0.04734,0.05881,0.03734,0.08232,0.64517,0.01558,0.08716,0.11736,0.1357,0,0.15089,0.00994,0.12199,0.32074,0.34958,0.61153,0.12241,0.53801,0.05419,0.00211,0.47121,0.48251,0.14023,0.39681,0.66361,0.54378,0.04347,0.26513,0.24171,0.55385,0.15308,0.24743,0.42101,1.02264,0.07007,0.01467,0.25496,0.09326,0.01991,0.09066,1.67906,0.26266,0.34769,0.0929
f__Clostridiaceae,0.49912,2.7737,0.30785,0.66758,0.88681,0.0881,0.36975,0.46174,0.77236,1.74177,0.44074,3.02977,0.1431,0.0,2.3154,5.78288,2.93184,0.0,1.77798,0.50261,1.31655,3.37615,8.22893,0.55024,1.80149,0.80096,0.61096,0.67864,0.79017,0.77497,0.51921,0.8968,1.43557,0.23415,3.08206,0.50043,2.26214,0.53991,1.15242,1.51734,2.61933,1.80175,2.41332,0.70553,4.66774,1.16054,0.23328,2.10789,1.26243,2.10827,3.50517,2.73868,0.10462,0.60672,4.10924,7.30056,0.47656,0.51438,1.43904,3.73765,7.82183,1.13006,0.91068,0.28757,4.69783,0.76609,1.07139,3.78144,1.45998,0.68305,2.45694,2.54887,6.21278,5.16314,3.23129,4.07637,0.5363,3.80143,0.7791,0.75664,0.11103,0.59484,3.25524,1.09066,0.20159,1.54297,7.18768,2.23009,1.67401
