Abundance,PSM6XBSE,ESM5GEZA,PSM6XBSG,CSM5MCYU,CSM67U9H,MSM5LLIQ,CSM7KOU7,CSM79HLY,CSM5FZ4E,MSM9VZN4,CSM67U9T,MSM79H9U,CSM79HGH,CSM67UEW,CSM7KOUJ,CSM67U9R,HSM5MD44,CSM79HQT,ESM5MEC7,CSM5MCYO,CSM79HGD,CSM79HGL,CSM5FZ4G,MSM5LLHV,CSM5MCYQ,CSM7KONY,ESM5MEA7,CSM7KONS,CSM79HNG,CSM79HQR,CSM5MCUW,ESM5GEZ6,ESM5MEEJ,CSM79HGJ,MSM79HF1,CSM5MCUQ,CSM5MCUS,CSM7KONW,CSM79HPM,ESM5GEZ4,CSM7KOQ5,MSM6J2N6,HSM7J4JV,CSM5MCUE,CSM5MCUY,CSM79HM5,MSM9VZJF,CSM67UF1,ESM5MEAB,MSM5LLFU,CSM79HM9,CSM5MCUC,CSM67U9P,CSM5MCU8,HSM7CZ2X,HSM7CZ1T,CSM5MCUG,PSM7J1C2,CSM5FZ4K,CSM7KOMR,HSM5MD87,MSM5LLFK,CSM5MCYM,CSM5MCUK,CSM5MCWM,HSM6XRQE,CSM67UEP,ESM5MEA9,HSM7J4JT,MSM5LLFM,CSM67UET,CSM5MCWS,CSM79HGF,CSM79HGN,HSM5MD47,CSM7KOMV,MSM79HD8,CSM5MCTZ,CSM5MCUA,HSMA33P2,CSM5MCXB,CSM79HPQ,CSM5FZ4A,MSM9VZNV,MSM5LLFO,MSM79HD6,CSM5MCYI,HSM5MD43
c__Bacilli,0.02265,0.02145,1.4284,5.31759,1.70174,0,0.68432,0,0,0.00434,0,0.15569,1.72248,0.62145,0,2.19119,11.55069,0.65583,0.07716,0.30884,6.59963,3.72488,0.17408,0,0.46384,0.55109,0.14051,0.70802,0,0.27917,0.03416,0.01927,0,3.33681,0.71685,1.60489,0,7.32365,4.36832,0,0,1.45947,0.01108,0.02954,0.00442,0,0.61113,0.07596,0.56816,0,0.7104,0,6.01758,0,0.18324,0,0.13767,0,0.07397,0.13333,0.28548,0,0.23954,0.07947,0,0,0.5901,0.49729,0,1.39222,0,0.0,6.33363,2.97665,0,0.07677,1.02298,0,0.36325,0,0.07492,4.68213,0,0.28098,0.26502,0,0.32633,0
c__Gammaproteobacteria,0.0197,0.27786,0.73502,0.27986,0.43699,0,0.15909,0,0.03756,0.27746,0,0.74172,0.13155,0.93678,0,0.37905,0.77207,0.88301,0.712,0.52968,0.85982,2.9312,0.11457,0.23851,1.45384,0.07646,5.37835,0.00314,0,8.56863,3.68501,0.52161,0.13772,0.38682,1.79804,2.27459,3.64458,0.44471,0.05135,0.26633,0.09675,0.17039,0.02143,0.03281,3.94749,0.17752,0.62873,0.08441,1.66996,0.04324,0.27127,0,0,0,0.98895,0.02628,0.16906,0.42823,0.02032,0.39722,0.49811,0.28233,1.30976,0.15301,0.00976,0,0.48335,1.12284,0.18387,0,0,0.0,0.37355,0.69754,1.17597,0.14423,40.90061,0.08472,0,0.01618,0.81632,0.32938,0,0,0.15705,0.1832,1.02557,0.06057
o__Bacteroidales,56.31925,72.80739,61.28752,43.78382,71.61907,77.66294,72.42718,87.84098,80.61353,70.99197,87.40772,69.61767,61.05361,15.58413,92.65955,81.8961,1.11789,27.81574,82.65108,49.15945,52.96598,45.99879,62.43453,67.81205,35.30034,93.14855,44.81634,82.84493,45.02311,16.17119,70.99284,57.61553,67.59922,74.98684,18.11259,73.78332,59.95217,44.40646,47.21011,76.29333,57.93563,86.6138,84.76919,64.74195,74.87483,76.71673,15.76297,32.35614,65.70771,83.38248,56.37383,81.7264,56.33676,45.10996,70.58245,83.17963,62.11811,96.52231,67.87028,35.20958,48.80646,84.00269,45.9856,51.17225,85.89072,87.38319,34.73489,67.69146,77.38213,91.61335,29.08715,0.0,40.01746,83.88423,19.20263,55.14204,19.54767,61.26565,85.46446,67.34109,33.5497,59.10533,93.28011,62.35532,85.28366,78.85252,38.52212,67.46004
o__Eubacteriales,41.51654,22.26829,31.20469,32.45676,22.35777,22.33706,19.97003,12.15902,10.18864,24.70503,10.5014,19.6663,30.1599,73.10847,6.63298,9.86835,36.39763,52.15906,13.87723,35.87668,31.35286,35.71402,26.13559,15.54559,56.79124,4.78745,22.6964,14.37506,22.87219,69.69181,14.58136,32.41592,28.77676,16.19911,63.77846,14.29192,33.61344,39.69427,41.53512,20.38081,36.1966,5.0465,10.66594,7.11545,10.7283,20.4718,50.55001,61.22229,24.26869,15.07954,37.087,11.13485,33.54313,22.58834,21.56079,14.07487,18.1394,0.76078,22.99866,54.96028,42.44238,11.68871,47.41625,23.77486,9.85769,0,42.70383,24.4551,19.76131,6.18124,66.64141,0.0,42.20755,6.90261,71.21007,33.27301,33.61557,22.15512,6.53624,29.04952,58.95398,32.4283,4.56087,34.60408,10.96919,19.14707,46.59953,29.33306
o__Veillonellales,1.04118,0.51581,0.2901,0.05721,0.03419,0,0,0,0,0.25476,1.07606,0,0.12141,3.5494,0,0.01214,3.03336,3.3408,0.5845,2.94405,0.16483,0.86947,0,2.01891,2.6676,0,11.77014,0,0.52682,3.77502,0,0.77229,1.46315,0,0.0914,0,0,0.13166,0.25205,1.07126,1.09088,0.16679,0.33518,0.11728,0,0.0591,12.01969,2.44351,0.80265,1.17285,1.92444,0,0,0.02861,3.59373,0,0.19502,0,0,2.05417,1.39415,3.77346,2.14678,0.00447,0,0,4.82307,1.06952,0.19692,0.7233,1.23922,0.0,0.34225,0.43136,1.0111,0.63186,0.82343,0.1202,0,0.95052,2.2886,0.06053,0,0.24777,2.77011,0.01711,7.25646,0.20223
o__Acidaminococcales,0.52325,0,0,0,0,0,0.40057,0,5.2444,0,0,3.91164,0,0.08084,0.34044,0,0,0.08777,0.4301,0.48237,0,0,4.27676,6.03017,0.04992,0,0,0,0,0,1.78913,0,0,0,1.89665,1.17779,0.67481,0.04816,0,0,0.00955,2.47463,0.10008,9.71937,0.92621,0.06641,1.52042,0.1217,6.60244,0,0.10572,1.5784,0,11.71474,0,0.53048,1.05412,0,3.91476,0,0.86175,0,0.16693,1.25525,3.55091,0,0.09632,2.8195,0.84574,0.0899,0.23175,0.0,0,0,0.2893,0,0.20817,1.26763,3.8542,0.0756,0.22319,0,1.2083,0,0,0,0.07807,0.38879
o__Erysipelotrichales,0.50942,0.01019,0,0,0,0,0.48455,0,0.01494,0,0.19372,0.01277,0,1.45201,0.01013,0,1.78554,0.20394,0.12464,0.06576,0,0,0.05834,0,0.80264,0,2.24285,0,0.49503,0,0.22986,0.14871,0.03176,0,0,1.08462,0.11103,0,0,0.01964,0.19509,0,0,0.02511,0.20594,0,2.56155,0.8428,0,0,0.30741,0,0,0.2065,0.07595,0.02096,0.25551,0.14991,0.28118,0.10701,0.12503,0,0.29103,0.26734,0,0,0.3989,0.95363,0.02079,0,0.2228,0.0,0.03062,0,0,0.02176,0.61006,0.31967,0.01036,0.02343,0.2672,0,0.0006,0.03656,0.01398,0.05877,0.37256,0.05806
o__Bifidobacteriales,0.048,0.52544,0,0.01504,0.00358,0,0,0,0,0,0.25357,0,1.25617,3.59284,0,0.94866,40.06322,12.33616,0.05873,7.97325,1.00039,0,0,0.09203,1.92497,0,0.00399,0.01012,0,0,0,1.33772,0.08354,0.39926,0,0,0,0.15425,0.75701,0.2265,0.03643,0.93797,0,0.08959,0,0.49118,0.37347,1.36253,0.09899,0,0.83069,0.10455,1.77724,0.17212,0.85391,0.14331,0.00262,0,0,3.87338,1.00564,0,0.72774,0.01432,0,0,14.43622,0.28394,0.227,0,1.75174,0.0,1.77282,0.04561,2.60237,2.11058,0,0.01015,0,0.14406,1.75049,0.12381,0,0.29726,0,0.00853,3.98564,1.41492
o__Lactobacillales,0.02265,0.02145,1.4284,5.31759,1.70174,0,0.68432,0,0,0.00434,0,0.11955,1.72248,0.62145,0,2.19119,11.55069,0.65583,0.07716,0.30884,6.59963,3.72488,0.17408,0,0.46384,0.55109,0.14051,0.70802,0,0.27917,0.03416,0.01927,0,3.33681,0.71685,1.60489,0,7.32365,4.36832,0,0,1.45947,0.01108,0.02954,0.00442,0,0.61113,0.07596,0.56816,0,0.7104,0,6.01758,0,0.18324,0,0,0,0.07397,0.13333,0.28548,0,0.23954,0,0,0,0.5901,0.49729,0,1.39222,0,0.0,6.33363,2.97665,0,0.07677,1.02298,0,0.36325,0,0.07492,4.68213,0,0.28098,0.26502,0,0.32633,0
o__Pasteurellales,0.0197,0.04975,0.73502,0,0.28825,0,0,0,0,0.14462,0,0,0,0.31518,0,0,0.77207,0.25787,0.0531,0.17925,0,2.9312,0,0,1.33667,0,0.90028,0,0,5.05353,0,0.02278,0.01754,0,0.75344,0,0,0,0,0.01651,0,0.17039,0.02143,0,0,0,0,0.05683,1.40858,0.04324,0.10796,0,0,0,0,0,0.16906,0,0,0.10113,0.04622,0,0.27445,0,0,0,0.33241,0.81692,0,0,0,0.0,0.15804,0.19722,0,0.01987,0,0.04256,0,0,0.16189,0,0,0,0.15705,0.1832,0.68858,0.04889
f__Bacteroidaceae,51.49831,53.7311,47.19871,4.5347,4.56524,77.66294,53.69392,80.44838,68.06084,56.91972,74.00285,10.9501,42.41749,14.54447,91.11228,63.58827,1.11789,25.6142,74.39882,37.29991,40.2196,38.79494,52.63933,44.6938,32.67711,2.83337,44.57095,5.17316,21.82209,15.23904,50.23214,43.58446,58.65051,41.38902,9.52839,44.04001,39.47943,25.61227,15.05035,65.94464,57.6715,4.28887,11.47151,62.23087,53.38937,27.90463,4.28272,29.8884,56.16686,83.38248,16.34233,74.75832,45.4404,42.07358,60.38883,73.3239,44.77718,89.58167,56.50977,9.00478,41.59028,84.00269,42.56165,29.20725,79.57886,2.65223,33.10252,60.67006,19.49939,91.61335,27.75081,0.0,27.41952,10.51543,19.20263,28.45691,12.10906,47.25855,79.9894,25.36576,29.78858,5.04693,89.50841,54.52001,85.28013,67.04768,34.47403,65.81601
f__Lachnospiraceae,23.62349,4.97493,8.43003,21.81727,14.93149,22.33706,5.16852,11.05103,2.11016,8.89124,3.58333,11.96194,3.16621,22.15654,1.93389,1.39594,22.85343,35.29359,5.95949,18.27059,6.43464,15.64038,2.80498,3.3103,37.98163,0.38102,10.68118,6.52945,13.16646,25.67823,3.9982,16.47696,7.46679,12.30464,38.40071,0.71585,14.52942,21.44912,24.4226,5.07,8.74805,2.18742,4.27691,2.92047,4.51835,7.39544,30.4641,40.56253,10.40941,10.36982,24.47621,4.31337,2.81196,8.25248,17.13643,4.96494,4.22913,0.61375,5.0092,30.72522,7.7093,5.30573,25.75895,6.60477,1.45084,0,32.0892,17.56185,3.10972,4.24172,49.71381,0.0,13.04549,1.2291,20.45831,15.16662,13.86016,7.30604,2.82404,3.0448,47.33208,21.66983,0.98744,7.38879,5.42156,4.87781,34.1538,3.41572
f__Oscillospiraceae,16.46888,10.23634,17.06282,9.79229,4.25077,0,12.45288,1.10799,5.65018,13.84585,5.73299,5.36026,18.66718,46.64377,3.93362,7.04237,13.5442,10.91113,6.11018,15.29189,18.00245,3.79049,20.74324,11.60666,15.18095,0.10028,12.01522,5.34113,6.05014,42.12994,7.37462,12.53898,20.61023,1.6943,20.26692,12.4777,17.19166,15.24793,8.83427,13.45783,26.68064,2.74868,5.89225,1.85714,4.30166,11.57215,16.6723,16.97504,13.85656,3.09697,9.03146,5.26014,19.22568,7.1709,2.95345,6.05996,11.04396,0,13.68397,21.03906,28.59703,5.88337,18.88729,13.07284,6.76917,0,7.54582,6.88156,15.29143,1.93952,15.37062,0.0,20.63449,1.05085,41.1137,14.32102,3.70908,13.35471,2.50147,24.55822,8.97725,8.38471,2.99718,23.89456,5.33283,9.33327,8.77916,25.27524
f__Barnesiellaceae,2.86746,0,0,0,0,0,0,0,0,0,0,0.41471,0,0,0,0,0,0,0.00878,0.2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3018,0,0,0.00223,0,0,0,0.74379,0.21895,0.01784,0,0,0,0,0,0,0.07107,0,0,0,0,0,2.20829,0,0,0,0,0,0,5.50359,0,0,0,0,2.05643,0,0,0.0,0,0,0,0,0.06721,2.61432,0,0.16348,0,0,0,0,0,0.61696,0,0
f__Clostridiaceae,1.18213,5.73673,1.19379,0.32538,0.32341,0,1.86652,0,1.06061,1.80175,0.9062,1.96044,0,2.10523,0.20391,0.15803,0,1.2747,1.46634,1.01049,0.01755,2.51413,0.69412,0,2.95153,0.07453,0,0.39584,3.65559,0.9043,2.70326,2.90566,0.38606,0,4.42338,0.54776,1.57593,0.77087,4.07694,1.29481,0.33756,0.11041,0.25136,1.52567,1.32014,1.32136,2.72465,2.32518,0,0.56016,2.0131,0.77769,0.09102,5.01068,0.98978,2.151,2.53577,0.14704,1.5745,2.27697,1.15616,0.49961,2.32641,3.95794,0.64928,0,1.82319,0,0.58576,0,1.08054,0.0,0.14495,0.55307,0,2.75104,15.30882,1.33525,0.61888,1.22899,1.37076,0.9635,0.44294,0.83375,0.13566,4.44837,2.04424,0.53358
f__Veillonellaceae,1.04118,0.51581,0.2901,0.05721,0.03419,0,0,0,0,0.25476,1.07606,0,0.12141,3.5494,0,0.01214,3.03336,3.3408,0.5845,2.94405,0.16483,0.86947,0,2.01891,2.6676,0,11.77014,0,0.52682,3.77502,0,0.77229,1.46315,0,0.0914,0,0,0.13166,0.25205,1.07126,1.09088,0.16679,0.33518,0.11728,0,0.0591,12.01969,2.44351,0.80265,1.17285,1.92444,0,0,0.02861,3.59373,0,0.19502,0,0,2.05417,1.39415,3.77346,2.14678,0.00447,0,0,4.82307,1.06952,0.19692,0.7233,1.23922,0.0,0.34225,0.43136,1.0111,0.63186,0.82343,0.1202,0,0.95052,2.2886,0.06053,0,0.24777,2.77011,0.01711,7.25646,0.20223
f__Rikenellaceae,0.75644,8.66373,0.40503,0.05593,0,0,14.76723,7.3926,7.70034,2.05169,0.0062,0.71134,6.77438,1.03966,0.01002,2.03902,0,2.20154,2.88573,3.02662,2.30378,0.1349,7.75479,19.27893,2.62323,0,0.24539,0.027,23.03302,0,12.25917,9.66906,0,5.47221,0.89567,22.61876,12.44487,2.97178,0.73795,2.93667,0.2086,1.56174,3.4276,1.21934,14.57355,8.68209,2.10163,2.46774,0.00333,0,2.29198,4.24756,4.75512,1.18115,0,4.72663,3.83563,0,7.60966,4.80817,0.23629,0,2.30489,8.10521,4.35595,0,1.63237,0.06143,5.29153,0,1.33634,0.0,2.0466,0.14129,0,5.27492,2.59099,4.10776,1.91621,1.50218,3.58781,0.09459,0.66288,0,0,10.17195,2.57102,0.23182
f__Tannerellaceae,0.64585,10.41255,2.1186,0.55994,0.31918,0,3.92526,0,4.25325,0.54275,13.13111,0.47609,6.10649,0,1.26415,6.19873,0,0,3.84543,0.76097,7.51761,3.62955,1.51681,1.65621,0,0.26126,0,0.51673,0,0.93216,8.00113,3.58423,8.94871,5.4587,1.7317,5.3615,7.53066,1.75283,1.89055,7.13367,0.05554,0.30833,1.78212,1.26562,6.50592,0,0.4489,0,9.53084,0,0.57379,2.72052,3.57618,1.85524,10.19362,4.51078,1.38956,6.94064,2.97578,0,6.8272,0,0.28647,1.90738,1.66611,0,0,6.95997,3.49455,0,0,0.0,3.84909,1.56935,0,0,1.15595,1.13062,3.55885,1.87092,0.11496,0.71693,3.10883,7.83531,0.00353,0.9032,0.1144,1.41221
f__Odoribacteraceae,0.55119,0,0,0,0,0,0,0,0.5991,0.44008,0,0.60241,0,0,0,0,0,0,0.34377,0.06556,0,0,0.5236,0.86842,0,0,0,0,0,0,0.5004,0,0,0,0.68815,0.78669,0.49721,0.03207,0,0,0,0,0.53744,0.00827,0.38407,0,0.35048,0,0.00668,0,0,0,0,0,0,0.61832,0.4866,0,0.77507,0.01332,0,0,0,0.85904,0.2898,0,0,0,0.31841,0,0,0.0,0,0,0,0.32453,0.22241,0.53373,0,0.49949,0,0,0,0,0,0,0,0
f__Acidaminococcaceae,0.52325,0,0,0,0,0,0.40057,0,5.2444,0,0,3.91164,0,0.08084,0.34044,0,0,0.08777,0.4301,0.48237,0,0,4.27676,6.03017,0.04992,0,0,0,0,0,1.78913,0,0,0,1.89665,1.17779,0.67481,0.04816,0,0,0.00955,2.47463,0.10008,9.71937,0.92621,0.06641,1.52042,0.1217,6.60244,0,0.10572,1.5784,0,11.71474,0,0.53048,1.05412,0,3.91476,0,0.86175,0,0.16693,1.25525,3.55091,0,0.09632,2.8195,0.84574,0.0899,0.23175,0.0,0,0,0.2893,0,0.20817,1.26763,3.8542,0.0756,0.22319,0,1.2083,0,0,0,0.07807,0.38879
f__Erysipelotrichaceae,0.50942,0.01019,0,0,0,0,0.35065,0,0.01494,0,0.19372,0.01277,0,1.45201,0.01013,0,1.78554,0.20394,0.06628,0.05271,0,0,0.05834,0,0.80264,0,2.24285,0,0.49503,0,0.22986,0.14871,0.03176,0,0,1.08462,0.11103,0,0,0.01964,0.16881,0,0,0.02511,0.20594,0,2.56155,0.8428,0,0,0.2933,0,0,0.2065,0.07595,0.02096,0.25512,0.14991,0.28118,0.03559,0.12503,0,0.29103,0.26703,0,0,0.3989,0.95363,0.02079,0,0.2228,0.0,0.03062,0,0,0.02176,0.61006,0.31967,0.01036,0.02343,0.2672,0,0.0006,0.03656,0,0.05877,0.37256,0.05806
f__Bifidobacteriaceae,0.048,0.52544,0,0.01504,0.00358,0,0,0,0,0,0.25357,0,1.25617,3.59284,0,0.94866,40.06322,12.33616,0.05873,7.97325,1.00039,0,0,0.09203,1.92497,0,0.00399,0.01012,0,0,0,1.33772,0.08354,0.39926,0,0,0,0.15425,0.75701,0.2265,0.03643,0.93797,0,0.08959,0,0.49118,0.37347,1.36253,0.09899,0,0.83069,0.10455,1.77724,0.17212,0.85391,0.14331,0.00262,0,0,3.87338,1.00564,0,0.72774,0.01432,0,0,14.43622,0.28394,0.227,0,1.75174,0.0,1.77282,0.04561,2.60237,2.11058,0,0.01015,0,0.14406,1.75049,0.12381,0,0.29726,0,0.00853,3.98564,1.41492
