Abundance,HSM6XRT2,HSM7CZ2L,ESM5GEZ3,HSM5MD59,HSM67VFX,MSM9VZMQ,HSM67VGA,HSM5MD6U,HSM7CYYZ,ESM5GEYU,HSM5MD8B,MSM79H94,MSM6J2M3,HSM67VGE,HSM67VDX,HSM5MD6O,HSM5MD8N,HSM6XRQC,CSM79HGR,HSM5MD6G,HSM7CZ2J,MSM6J2PQ,PSM6XBTZ,HSM5MD82,HSM67VG2,HSM5MD6S,HSM5MD6I,HSM67VGI,HSM5MD5D,HSM6XRTG,HSM5MD6K,PSM7J19X,HSM5MD8H,HSM67VDR,HSM5MD8D,HSM5MD5F,HSM6XRSZ,HSM6XRTE,HSM6XRSX,MSM79H52,HSM5MD5B,ESM5GEZ1,HSM7CYYV,HSM5MD8P,HSM6XRT4,MSM79H8J,CSM6J2H9,MSM6J2JF,HSM5MD57,MSM79HCN,HSM67VG6,HSM6XRTC,HSM6XRT6,ESM5ME9H,HSM67VDT,MSM9VZFJ,HSM5MD8L,HSM7CYYR,HSMA33J1,HSM5MD6E,HSM5MD8A,HSM5MD5Z,MSM6J2JH,HSM6XRTA,ESM5MEBP
c__Gammaproteobacteria,1.41994,0.82186,0.21479,0.6446,0.69229,0.02056,0,0.02058,0.03747,1.44268,0.13016,0.06119,0.0461,0.03723,0.27458,0.02259,0.05455,1.28323,0.02426,0.0,2.65433,0.01918,0,0.39653,4.34616,0.03001,0.03878,0.02862,0.03942,0.04759,0.00269,3.32403,0.02622,0.861,0.00393,9.87689,0.17862,0.07038,2.76342,0.02889,1.24765,0.86754,0,0.00287,7.78028,0.3324,0,0.34563,3.61182,0.01752,0.76546,0,6.24924,0.03047,0.05192,0.09387,0.00649,0.01145,0,0.01921,0.80408,0,0.87385,0.08598,0.52732
c__Negativicutes,1.31904,0.53093,0.74874,2.05027,0.42848,0.10309,3.04411,1.71174,17.15654,7.13547,6.41397,0.50841,0.43858,38.53019,2.00945,1.44416,2.13471,7.81121,0.35596,0.0,0.13364,5.64213,0.22461,6.73301,0.01769,0.56793,0,5.81374,2.27829,0.34708,0.08676,0.10282,0.29985,0.22694,1.67701,5.15618,0.94486,8.45148,5.86104,0.45491,3.28867,5.26364,4.37667,4.04779,1.01522,3.63182,1.86789,1.08948,2.78618,1.76371,1.06427,11.68563,2.37449,0.69718,0.52317,1.60622,0.91561,2.03561,1.26887,0.00869,1.5441,0.40796,1.47579,16.95361,2.64291
c__Firmicutes_unclassified,1.28465,0.16942,0.46426,0.64446,0.67483,0.08966,0.12461,1.52185,2.69403,0.41674,0.02398,0,0.36496,1.51131,0.01592,0.02468,0.24081,0,0.08924,0.0,0,10.64183,0.03881,0.4903,0.01991,0.14044,0.826,0,2.59592,0.1609,0.74249,0,0.7198,0.15008,0,0.33582,0.03342,0.50518,1.69333,0,2.26239,0.94248,1.46825,0.04117,0.03677,0.4486,0.88229,0.00752,0.91219,0,0.43933,0.20501,0.95071,0.18471,0.01184,0.16693,0.04157,0.01307,0.55532,2.01912,0.03247,0,0.12522,0.24362,0.0129
c__Deltaproteobacteria,0.92922,0.57628,0.08013,0.29632,0.97857,0.03121,0.38283,0,0.44137,0.01443,0.24499,0.09353,0.07777,1.67207,0.20658,0,0.07221,0,0.01732,0.0,1.45582,0.02972,0.13553,0.14347,0.11448,0,0.22446,0.36344,0.56426,0.10774,0.57584,1.26068,0.035,0.1363,0.13422,1.89483,0.37943,0.54076,1.47658,0.08163,0.11593,0.02137,0.1855,0.14509,0.57588,0.26008,0.39924,0,1.05282,0,0.14771,0.58422,3.90432,0.4121,0.04674,0.04142,0.04019,0.07833,0.3372,0,0.34076,0,0.23324,0.36921,1.0088
c__Coriobacteriia,0.66876,0.03959,0,0.17651,0.20726,0.01666,0.05216,0,0.03765,0.00641,0.10037,0,0.17506,0.46957,0.83493,0,0.00429,0,0.16959,0.0,0.69905,0.78663,0,0.16961,0.20259,0.01301,0.18276,0,0.351,0,0.02686,0,0.06021,1.11589,0,0.77462,0.38346,0.10642,0.5106,0.25483,0.12866,0,0,0.01311,0.45004,0.06014,0.01423,0.30022,0.53548,0,0.90904,0,2.47017,0.02885,0.0428,0.06887,0.00652,0,0.01178,0.7464,0.84573,0,0.04034,0.02789,0
c__Betaproteobacteria,0.60758,0.9386,1.3862,0.94023,1.31175,1.21226,0.70503,0,0.90899,2.26557,1.05183,0.15527,0.46629,1.51084,0.52421,0,0.21833,0,0.27534,0.0,0.26025,0.88651,1.57344,0.27808,0.04037,0,0.57556,0.91761,1.42304,0.3618,0.47555,0,0.16378,2.24932,0.54313,4.65864,1.13675,1.44636,3.0771,0,1.02663,2.95381,0.20138,0.65165,0.3754,1.38854,0.4328,0.59058,0.97342,2.22615,0.41809,2.19514,5.56592,1.87989,0.14025,1.26675,0.23604,2.46097,1.6021,0.27626,0.34623,0,1.30944,0.65309,1.59265
c__Actinomycetia,0.48239,0.49283,0,0.80268,0.70733,0,0.43391,0.15843,1.6587,0.29711,2.00758,0,2.96195,2.02938,6.07339,0,0.07756,0,0,0.0,0.20848,1.73547,0.29308,1.5839,0.08597,0.03978,0,0,0.46519,0.06714,0,0.10628,0,0.12947,0.1492,1.74027,0.90713,1.51161,1.87377,0.73556,2.43566,0,0.03127,0.09521,0.16718,0.03693,0.01344,1.53482,0.70458,0,1.65665,0.26071,6.55007,1.20113,0.13597,0.02297,0.02698,0,0.40958,0,1.95512,0,0,1.10139,0.18209
c__CFGB76783,0.16278,0.07637,0,0.03672,0.22439,0.23807,0.11674,0,0,0,0.04735,0,0,0.08826,0,0,0.09473,0,0,0.0,0.17659,0,0.17977,0.0743,0.02389,0,0,0,0.21843,0,0,0,0,0.00848,0,0.08032,0.57013,0.08024,0.16312,0,0.02728,0,0.23189,0,0.54291,0,0.67278,0,0.09651,0,0.20283,0,0,0,0,0.02852,0.05242,0.35376,0.04084,0,0.11858,0,0,0,0
c__Erysipelotrichia,0.12798,0.06266,0,0.00149,0.32975,0,0.021,0.03538,0.17085,0.00399,0.09595,0,0,0.23211,0.31774,0,0.02495,0,0,0.0,0.0759,0.06363,0.0551,0.08815,0.12616,0.00125,0.0168,0,0.03972,0.01637,0.02182,2.85794,0.21728,0.0711,0,0.17681,0.12597,0.10902,0.24228,4.0004,0.02486,0,0,0.01228,0.13756,0.09627,0.14405,0.01321,0.21508,0,0.09923,0,0.21452,0.12878,0,0.0609,0,0,0.28052,0.02375,0.19176,0,0.20368,0.12016,0.16125
c__Synergistia,0.05912,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09629,0,0,0.00593,0.01543,0,0,0,0,0,0,0,0,0,0,0,0,0.09192,0,0.03296,0,0,0,0,0,0,0,0,0,0,0.01483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB8822,0.04742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02464,0,0,0,0,0,0,0,0.00885,0,0,0,0,0,0,0.01554,0,0,0.00369,0,0,0,0,0,0,0,0,0.00462,0.04558,0,0,0,0,0,0,0.04341,0,0,0,0,0,0,0,0,0
c__Bacilli,0.04691,0.33234,0.01641,0.2535,0.06321,0.05792,0,0.09661,0,0.00232,0.01764,0,1.28805,0.01032,0.0003,0,0.03839,0,1.29635,0.0,0.21131,0.7627,0.4896,0.38195,0.00273,0.00395,0,0,0,0,0,0.01705,0,0,0,0.0854,0.02951,0.07926,0.00641,5.46667,0.27901,0,0,0,0.07912,0,0.01035,0.00052,0.08983,0.49264,3.2942,0,0.10871,0,0.03172,0,0,0,0,0.0224,1.72645,0,1.05925,0,0.23889
c__CFGB3070,0.0338,0.22083,0,0.03306,0.21278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13488,0,0,0,0.10375,0,0,0,0.35186,0,0,0,0,0,0,0.00425,0.35388,0,0.48367,0.15651,0,0,0,0,0,0.08835,0,0.22047,0.45113,0,0.41208,0,0,0,0,0.23393,0,0,0.06102,0,0,0,0.02892,0,0
c__Alphaproteobacteria,0.02201,0.31935,0,0.05529,0.16817,0.01086,0,0,0,0,0,0,0.3105,0,0.0277,0,0,0,0,0.0,0.07545,0.02581,0.00292,0,0.01897,0,0.12538,0,0.07966,0,0.35221,0,0,0,0,0.14775,0.01095,0,0.16687,0.08753,0,0,0,0,0.01611,0.05559,0.00034,0,0.02776,0,0.01517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c__CFGB1011,0.00846,0,0.01221,0.03131,0.05784,0,0,0.03092,0,0.0114,0.24045,0,0.00257,0.0038,0.1086,0,0,0,0,0.0,0.03981,0,0,0.10533,0,0.00749,0,0,0.0914,0.00294,0,0,0,0,0,0.00725,0.01063,0.19054,0.1502,0,0.03485,0,0,0,0.02746,0.07491,0,0.02438,0.04213,0,0.04237,0,0.01035,0,0.01032,0.02621,0,0,0,0,0.09247,0,0,0.04564,0
o__Bacteroidales,74.0458,53.86549,43.46999,47.66445,43.63887,76.61329,74.56644,78.97894,62.19542,57.54098,72.15448,97.65923,21.96405,37.09179,53.63243,91.65303,76.99788,80.15053,37.55919,0.0,73.66703,6.60173,84.31237,61.25989,79.68899,75.34177,68.225,80.69528,45.76733,78.86805,60.2219,46.57586,39.77547,73.7337,76.89854,28.56222,68.14031,54.06024,46.16938,48.97297,46.41083,46.18764,61.75369,83.53884,66.35915,51.94705,58.41189,61.23125,58.89835,63.16231,54.83497,60.79447,23.69754,63.80278,91.02535,74.94672,79.10718,90.44837,50.47565,60.52353,55.23783,97.96815,60.60118,47.90925,50.51634
o__Eubacteriales,14.78077,36.86522,53.56843,45.36948,45.57073,17.11482,16.03312,16.8115,13.81615,30.2414,14.97522,1.48489,54.76734,14.91716,34.66763,6.51407,14.43933,9.91509,15.49946,0.0,7.27646,47.89212,11.62976,27.82303,7.02884,23.78949,28.62868,9.14102,37.50087,19.3458,35.25942,44.77741,56.45053,21.24036,19.91472,35.46545,19.67781,24.91157,25.31115,33.88543,40.9331,43.60088,24.80817,11.24581,12.24696,38.47501,36.11479,13.59755,19.85165,26.1926,24.24664,19.54418,27.72743,31.5237,5.07639,20.42845,18.99052,3.01581,41.92709,35.25373,36.31243,1.62389,29.64318,22.83971,43.11684
o__Clostridiales,2.34954,1.24945,0,0.21849,0.89374,0.22224,0,0.08381,0.61411,0,0.0179,0.00539,0.49927,0.783,0.13747,0.02344,0.02285,0,0.01642,0.0,1.9394,12.15107,0.00909,0.04791,0.01005,0.06488,0.37163,0.90675,0.76053,0.02336,1.74852,0,0.84149,0.02659,0,4.93149,1.16811,0.0793,4.23337,0,0.38456,0,0.77064,0,0.55845,1.39759,0.36482,0.30226,1.39304,0.02665,1.14125,0,5.45259,0,0.26325,0.33919,0,0,0.10393,0.57679,0.09607,0,0.14018,0,0
o__Verrucomicrobiales,1.58516,2.79579,0,0.77117,1.21845,0,3.53933,0.08332,0.1135,0,1.7514,0,0.035,0.42541,0,0,4.97076,0,2.49066,0.0,9.50916,0,0,0.05661,4.1323,0,0,1.75586,7.38854,0.57639,0,0,0.10338,0,0.67924,6.01031,5.8224,6.59013,5.52371,0,0.9649,0,6.05211,0.19585,9.47896,0,0,19.22701,8.2701,4.82171,8.74526,2.86112,14.65777,0,2.38611,0,0.20231,1.58262,0,0.00909,0.33738,0,0.04238,9.65046,0
o__Enterobacterales,1.39491,0.82186,0.06064,0.25493,0.3176,0,0,0.02058,0.03747,0.93983,0.06719,0.06119,0,0.03723,0.27458,0,0,1.18004,0,0.0,2.65433,0,0,0.29407,4.34301,0.03001,0,0.02862,0.0012,0,0,2.25635,0,0.01662,0,9.80464,0.16577,0,2.55028,0,0.15128,0.5043,0,0,7.72721,0.26439,0,0.34563,3.55562,0.01752,0.64397,0,5.8084,0.00562,0.03043,0.06239,0,0,0,0,0.62756,0,0,0.04024,0.04495
o__Veillonellales,1.30709,0.53093,0.74874,2.05027,0.36239,0.02297,3.04411,1.71174,15.06086,7.12544,6.41397,0.50841,0.18277,36.96073,0.09378,1.44416,2.13471,7.81121,0,0.0,0.13364,0.14074,0.22461,6.73301,0.01769,0.56793,0,4.62488,2.24899,0.34708,0.08676,0.10282,0.29985,0.22694,1.67701,4.98418,0.93852,8.31378,5.75632,0,3.28867,5.26364,3.72327,4.04779,0.96331,0.07267,1.65366,1.05431,2.75991,1.76371,1.03571,11.68563,1.70569,0.69718,0.52317,0,0.91561,1.9861,0,0.00869,1.5441,0.40796,0,16.95361,2.64291
o__Firmicutes_unclassified,1.28465,0.16942,0.46426,0.64446,0.67483,0.08966,0.12461,1.52185,2.69403,0.41674,0.02398,0,0.36496,1.51131,0.01592,0.02468,0.24081,0,0.08924,0.0,0,10.64183,0.03881,0.4903,0.01991,0.14044,0.826,0,2.59592,0.1609,0.74249,0,0.7198,0.15008,0,0.33582,0.03342,0.50518,1.69333,0,2.26239,0.94248,1.46825,0.04117,0.03677,0.4486,0.88229,0.00752,0.91219,0,0.43933,0.20501,0.95071,0.18471,0.01184,0.16693,0.04157,0.01307,0.55532,2.01912,0.03247,0,0.12522,0.24362,0.0129
o__Desulfovibrionales,0.92922,0.57628,0.08013,0.29632,0.97857,0.03121,0.38283,0,0.44137,0.01443,0.24499,0.09353,0.07777,1.67207,0.20658,0,0.07221,0,0.01732,0.0,1.45582,0.02972,0.13553,0.14347,0.11448,0,0.22446,0.36344,0.56426,0.10774,0.57584,1.26068,0.035,0.1363,0.13422,1.89483,0.37943,0.54076,1.47658,0.08163,0.11593,0.02137,0.1855,0.14509,0.57588,0.26008,0.39924,0,1.05282,0,0.14771,0.58422,3.90432,0.4121,0.04674,0.04142,0.04019,0.07833,0.3372,0,0.34076,0,0.23324,0.36921,1.0088
o__Coriobacteriales,0.66876,0.03959,0,0.17651,0.20726,0,0.05216,0,0.03765,0,0.10037,0,0.17506,0.46957,0.75753,0,0.00429,0,0.16959,0.0,0.69905,0.64876,0,0.16961,0.20259,0,0.18276,0,0.351,0,0.02686,0,0.06021,1.11589,0,0.77462,0.38346,0.10642,0.5106,0.1761,0.12866,0,0,0.01311,0.45004,0.06014,0.01423,0.271,0.53548,0,0.90904,0,2.47017,0.02885,0.0428,0.05507,0.00652,0,0.01178,0.74282,0.8421,0,0.04034,0.02789,0
o__Burkholderiales,0.60758,0.9386,1.3862,0.94023,1.31175,1.21226,0.70503,0,0.90899,2.26557,1.05183,0.15527,0.46629,1.51084,0.52421,0,0.21833,0,0.27534,0.0,0.26025,0.88651,1.57344,0.27808,0.04037,0,0.57556,0.91761,1.42304,0.3618,0.47555,0,0.16378,2.24932,0.54313,4.65864,1.13675,1.44636,3.0771,0,1.02663,2.95381,0.20138,0.65165,0.3754,1.38854,0.4328,0.59058,0.97342,2.22615,0.41809,2.19514,5.56592,1.87989,0.14025,1.26675,0.23604,2.46097,1.6021,0.27626,0.34623,0,1.30944,0.65309,1.59265
o__Bifidobacteriales,0.48239,0.49283,0,0.80268,0.70733,0,0.43391,0.15843,1.6587,0.27426,2.00758,0,0.00163,2.02938,6.07339,0,0.07756,0,0,0.0,0.20848,1.53884,0.29308,1.5839,0.08597,0.03978,0,0,0.46519,0.06714,0,0.10628,0,0.12947,0.1492,1.74027,0.90713,1.51161,1.87377,0.73556,2.43566,0,0.03127,0.09521,0.16718,0.03693,0.01344,1.53482,0.70458,0,1.65665,0.26071,6.53667,1.20113,0.13597,0.02297,0.02698,0,0.40958,0,1.95512,0,0,1.10139,0.18209
o__OFGB76783,0.16278,0.07637,0,0.03672,0.22439,0.23807,0.11674,0,0,0,0.04735,0,0,0.08826,0,0,0.09473,0,0,0.0,0.17659,0,0.17977,0.0743,0.02389,0,0,0,0.21843,0,0,0,0,0.00848,0,0.08032,0.57013,0.08024,0.16312,0,0.02728,0,0.23189,0,0.54291,0,0.67278,0,0.09651,0,0.20283,0,0,0,0,0.02852,0.05242,0.35376,0.04084,0,0.11858,0,0,0,0
o__Erysipelotrichales,0.12798,0.06266,0,0.00149,0.32975,0,0.021,0.03538,0.17085,0.00399,0.09595,0,0,0.23211,0.31774,0,0.02495,0,0,0.0,0.0759,0.06363,0.0551,0.08815,0.12616,0.00125,0.0168,0,0.03972,0.01637,0.02182,2.85794,0.21728,0.0711,0,0.17681,0.12597,0.10902,0.24228,4.0004,0.02486,0,0,0.01228,0.13756,0.09627,0.14405,0.01321,0.21508,0,0.09923,0,0.21452,0.12878,0,0.0609,0,0,0.28052,0.02375,0.19176,0,0.20368,0.12016,0.16125
o__Synergistales,0.05912,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09629,0,0,0.00593,0.01543,0,0,0,0,0,0,0,0,0,0,0,0,0.09192,0,0.03296,0,0,0,0,0,0,0,0,0,0,0.01483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__OFGB8822,0.04742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02464,0,0,0,0,0,0,0,0.00885,0,0,0,0,0,0,0.01554,0,0,0.00369,0,0,0,0,0,0,0,0,0.00462,0.04558,0,0,0,0,0,0,0.04341,0,0,0,0,0,0,0,0,0
o__Lactobacillales,0.04691,0.33234,0.01641,0.2535,0.06321,0.05792,0,0,0,0,0.01764,0,1.18892,0.01032,0,0,0.03839,0,1.29635,0.0,0.21131,0.7627,0.4896,0.38195,0.00273,0,0,0,0,0,0,0,0,0,0,0.0854,0.02951,0.07926,0.00641,5.46667,0.27901,0,0,0,0.07912,0,0.01035,0,0.08983,0.49264,3.2942,0,0.10871,0,0.03172,0,0,0,0,0.0224,1.72645,0,1.03231,0,0.23889
o__OFGB3070,0.0338,0.22083,0,0.03306,0.21278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13488,0,0,0,0.10375,0,0,0,0.35186,0,0,0,0,0,0,0.00425,0.35388,0,0.48367,0.15651,0,0,0,0,0,0.08835,0,0.22047,0.45113,0,0.41208,0,0,0,0,0.23393,0,0,0.06102,0,0,0,0.02892,0,0
o__Chromatiales,0.02504,0,0.08985,0.12326,0.366,0,0,0,0,0.14361,0.04308,0,0,0,0,0,0.05455,0,0,0.0,0,0,0,0.10246,0.00314,0,0.03878,0,0.03355,0.00898,0.00269,0,0,0,0,0.01419,0,0.0646,0.09209,0,0.07269,0.15584,0,0,0.05308,0.04311,0,0,0.0562,0,0.12149,0,0,0.02485,0,0.03148,0.00649,0.01145,0,0.01921,0,0,0,0.04574,0
o__Hyphomicrobiales,0.02201,0.31935,0,0.05529,0.16817,0.01086,0,0,0,0,0,0,0,0,0.0277,0,0,0,0,0.0,0.07545,0,0.00292,0,0.01897,0,0.12538,0,0.07966,0,0.35221,0,0,0,0,0.14775,0.01095,0,0.16687,0,0,0,0,0,0.01611,0.05559,0.00034,0,0.02776,0,0.01517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o__Selenomonadales,0.01195,0,0,0,0.06609,0,0,0,2.01443,0,0,0,0,1.44107,0,0,0,0,0,0.0,0,0.11571,0,0,0,0,0,1.18886,0.02931,0,0,0,0,0,0,0.172,0.00635,0,0.10471,0,0,0,0.6534,0,0.05191,0.00176,0.01936,0,0.02627,0,0.02856,0,0.6688,0,0,0,0,0.04951,0,0,0,0,0.65593,0,0
o__OFGB1011,0.00846,0,0.01221,0.03131,0.05784,0,0,0.03092,0,0.0114,0.24045,0,0.00257,0.0038,0.1086,0,0,0,0,0.0,0.03981,0,0,0.10533,0,0.00749,0,0,0.0914,0.00294,0,0,0,0,0,0.00725,0.01063,0.19054,0.1502,0,0.03485,0,0,0,0.02746,0.07491,0,0.02438,0.04213,0,0.04237,0,0.01035,0,0.01032,0.02621,0,0,0,0,0.09247,0,0,0.04564,0
o__Clostridia_unclassified,0.00435,0.6189,0.02572,0.00997,0.12485,0.03438,0,0.03627,0,0.00277,0.06348,0,0.04935,0.04596,0.70352,0,0.01386,0,0.06754,0.0,1.18897,0,0,0.02653,0.43501,0,0,0,0.03319,0.00498,0,0.97793,0.10129,0,0,0.07513,0.06322,0.0063,0.24857,1.27731,0.02501,0.00131,0,0,0.05739,0.23197,0.22,0.16385,0.04236,0.06794,0.74563,0,0.04318,0.01231,0.05722,0.44502,0,0,0.16207,0,0.01853,0,0.04567,0,0
